hie	PAVD	hier	hièr
in	APPR	in	in
die	DDART.Fem.Akk.Sg.*	die	dër
ruore	NA.Fem.Akk.Sg.st	ruore	ruore
ziehen	VVINF	ziehen	zièhen
gar	AVD	gar	gare
,	$_	,	,
edeler	ADJA.Pos.*.Gen.Pl.st	edeler	èdele
ruorhunde	NA.Neut.Gen.Pl.st	ruorhunde	ruorhunde
driuzehen	CARDS.Masc.Akk.Pl.st	drîzehen	drîzëhen
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
stunde	NA.Fem.Dat.Sg.st	stunde	stunte
.	$_	.	.
	
den	DDART.Masc.Akk.Sg.*	den	dër
leithunt	NA.Masc.Akk.Sg.st	lîthunt	lèithunt
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
er	PPER.Masc.Nom.Sg.3	er	ër
an	APPR	an	ane
die	DDART.Fem.Akk.Sg.*	die	dër
hant	NA.Fem.Akk.Sg.st	hant	hant
.	$_	.	.
	
vil	AVD	vile	vile
schiere	AVD	schiere	schière
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
hirz	NA.Masc.Akk.Sg.st	hirz	hirz
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
streift	VVFIN.Ind.Pres.Sg.3	strebet	strëben
diu	DDART.Neut.Akk.Pl.*	diu	dër
seil	NA.Neut.Akk.Pl.st	seil	sèil
den	DDART.*.Dat.Pl.*	den	dër
hunden	NA.Masc.Dat.Pl.st	hunden	hunt
abe	PTKVZ	abe	abe
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
hirz	NA.Masc.Nom.Sg.st	hirz	hirz
flôch	VVFIN.Ind.Past.Sg.3	vlôch	vlièhen
mit	APPR	mit	mit
ungehabe	NA.Fem.Dat.Sg.st	ungehabe	ungehabe
vor	APPR	vore	vore
den	DDART.*.Dat.Pl.*	den	dër
hunden	NA.Masc.Dat.Pl.st	hunden	hunt
durch	APPR	durch	durh
den	DDART.Masc.Akk.Sg.*	den	dër
walt	NA.Masc.Akk.Sg.st	walt	wald
.	$_	.	.
	
swie	AVG	swie	swiè
die	DDART.Masc.Nom.Pl.*	die	dër
wege	NA.Masc.Nom.Pl.st	wege	wëg
waern	VAFIN.Ind.Past.Pl.3	wârn	wësen
gestalt	VVPP	gestalt	stèllen
,	$_	,	,
der	DDART.*.Gen.Pl.*	der	dër
jäger	NA.Masc.Nom.Pl.st	jeger	jègære
und	KON	und	unte
knabe	NA.Masc.Nom.Sg.*	knabe	knabe
volgten	VVFIN.*.Past.Pl.3	volgeten	volgen
nâch	PTKVZ	nâch	nâh
.	$_	.	.
	
dem	DDART.Masc.Dat.Sg.*	dem	dër
hirze	NA.Masc.Dat.Sg.st	hirze	hirz
was	VAFIN.Ind.Past.Sg.3	was	wësen
ze	APPR	ze	ze
fliehen	NA.Neut.Dat.Sg.st	vliehen	vlièhen
gâch	ADJD.Pos	gâch	gâh
für	APPR	vüre	vüre
die	DDART.*.Akk.Pl.*	die	dër
drî	CARDA.*.Akk.Pl.st	drî	drî
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
stunt	NA.Fem.Dat.Sg.st	stunt	stunte
,	$_	,	,
dâ	AVD	dâ	dâr
man	PI.*.Nom.Sg.st	man	man
mangen	DIA.Masc.Akk.Sg.st	manigen	manig
guoten	ADJA.Pos.Masc.Akk.Sg.*	guoten	guot
hunt	NA.Masc.Akk.Sg.st	hunt	hunt
nâch	APPR	nâch	nâh
im	PPER.Masc.Dat.Sg.3	im	ër
hazte	VVFIN.*.Past.Sg.3	hazzete	hazzen
ûf	APPR	ûf	ûf
sîn	DPOSA	sîn	sîn
spor	NA.Neut.Akk.Sg.st	spor	spor
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
hirz	NA.Masc.Nom.Sg.st	hirz	hirz
der	DDS.Masc.Nom.Sg.*	der	dër
flôch	VVFIN.Ind.Past.Sg.3	vlôch	vlièhen
allez	AVD	allez	allezz
vor	AVD	vore	vore
vil	AVD	vile	vile
rehte	AVD	rehte	rëhte
gegen	APPR	gegen	gègen
der	DDART.Fem.Dat.Sg.*	der	dër
fiwerstat	NA.Fem.Dat.Sg.st	viurstat	viurstat
,	$_	,	,
dâ	AVD	dâ	dâr
artûs	NE.Nom.Sg	Artûs	Artûs
im	PPER.Masc.Dat.Sg.3	im	ër
bereiten	VVINF	bereiten	berèiten
bat	VVFIN.Ind.Past.Sg.3	bat	biten
den	DDART.Masc.Akk.Sg.*	den	dër
imbîz	NA.Masc.Akk.Sg.st	inbîz	inbîz
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
werde	ADJA.Pos.Masc.Nom.Sg.wk	werde	wërd
man	NA.Masc.Nom.Sg.st	man	mann
.	$_	.	.
	
vor	APPR	vore	vore
dem	DDART.Masc.Dat.Sg.*	dem	dër
walde	NA.Masc.Dat.Sg.st	walde	wald
ûf	APPR	ûf	ûf
dem	DDART.Masc.Dat.Sg.*	dem	dër
plân	NA.Masc.Dat.Sg.st	plâne	plân
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	DPOSA	sîn	sîn
kuchen	NA.Fem.Nom.Sg.*	küchene	küchene
ûf	PTKVZ	ûf	ûf
geslagen	VVPP	geslagen	slahen
.	$_	.	.
	
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
geriten	VVPP	geriten	rîten
jagen	VVINF	jagen	jagen
diu	DDART.Fem.Nom.Sg.*	diu	dër
küngin	NA.Fem.Nom.Sg.*	küningîn	küninginne
mit	APPR	mit	mit
manger	DIA.Fem.Dat.Sg.st	maniger	manig
frouwen	NA.Fem.Dat.Sg.st	vrouwen	vrouwe
.	$_	.	.
	
ouch	KO*	ouch	ouch
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
man	PI.*.Nom.Sg.st	man	man
dâ	AVD	dâ	dâr
schouwen	VVINF	schouwen	schouwen
vil	AVD	vile	vile
manic	DIA.Neut.Akk.Sg.*	manic	manig
gezelt	NA.Neut.Akk.Sg.st	gezelt	gezëlt
wol	AVD	wole	wole
getân	ADJN.Neut.Akk.Sg.*	getân	getân
geslagen	VVPP	geslagen	slahen
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
grüenen	ADJA.Pos.Masc.Akk.Sg.*	grüenen	grüène
plân	NA.Masc.Akk.Sg.st	plân	plân
.	$_	.	.
	
artûs	NE.Nom.Sg	Artûs	Artûs
der	DDART.Masc.Nom.Sg.*	der	dër
valsches	NA.Masc.Gen.Sg.st	valsches	valsch
frîe	ADJA.Pos.Masc.Nom.Sg.wk	vrîe	vrî
mit	APPR	mit	mit
sîner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
massenîe	NA.Fem.Dat.Sg.st	massenî	massenîe
het	VAFIN.*.Past.Sg.3	hæte	haben
sich	PRF.Akk.*.*	sich	sich
für	APPR	vüre	vüre
den	DDART.Masc.Akk.Sg.*	den	dër
grüenen	ADJA.Pos.Masc.Akk.Sg.*	grüenen	grüène
walt	NA.Masc.Akk.Sg.st	walt	wald
geleit	VVPP	geleit	lègen
mit	APPR	mit	mit
mangem	DIA.Masc.Dat.Sg.st	manigem	manig
ritter	NA.Masc.Dat.Sg.st	ritter	rîtære
vil	AVD	vile	vile
gemeit	ADJN.Masc.Dat.Sg.*	gemeit	gemèit
und	KON	und	unte
diu	DDART.Fem.Nom.Sg.*	diu	dër
künegîn	NA.Fem.Nom.Sg.*	küningîn	küninginne
mit	APPR	mit	mit
ir	DPOSA.Fem.Dat.Sg.*	ire	ire
frouwen	NA.Fem.Dat.Pl.*	vrouwen	vrouwe
.	$_	.	.
	
vor	APPR	vore	vore
einer	DIART.Fem.Dat.Sg.st	einer	èin
schoenen	ADJA.Pos.Fem.Dat.Sg.wk	schoenen	schoène
ouwen	NA.Fem.Dat.Sg.st	ouwen	ouwe
lâgen	VVFIN.Ind.Past.Pl.3	lâgen	ligen
si	PPER.*.Nom.Pl.3	si	ër
durch	APPR	durch	durh
kurzwîle	NA.Fem.Akk.Sg.st	kurzewîle	kurzewîle
.	$_	.	.
	
nu	AVD	nû	nû
kam	VVFIN.Ind.Past.Sg.3	kam	komen
geflohen	VVPP	gevlohen	vlièhen
mit	APPR	mit	mit
île	NA.Fem.Dat.Sg.st	île	île
der	DDART.Masc.Nom.Sg.*	der	dër
hirz	NA.Masc.Nom.Sg.st	hirz	hirz
ûz	APPR	ûz	ûz
dem	DDART.Masc.Dat.Sg.*	dem	dër
walde	NA.Masc.Dat.Sg.st	walde	wald
.	$_	.	.
	
den	DDS.Masc.Akk.Sg.*	den	dër
jagten	VVFIN.*.Past.Pl.3	jageten	jagen
her	PPER.Masc.Nom.Sg.3	her	ër
vil	AVD	vile	vile
balde	AVD	balde	balde
die	DDART.Masc.Akk.Pl.*	die	dër
hunde	NA.Masc.Nom.Pl.st	hunde	hunt
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
grüenen	ADJA.Pos.Masc.Akk.Sg.*	grüenen	grüène
plân	NA.Masc.Akk.Sg.st	plân	plân
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
der	DDART.Masc.Nom.Sg.*	der	dër
junge	ADJA.Pos.Masc.Nom.Sg.wk	junge	jung
man	NA.Masc.Nom.Sg.st	man	mann
mit	APPR	mit	mit
dem	DDART.Masc.Dat.Sg.*	dem	dër
hirze	NA.Masc.Dat.Sg.st	hirze	hirz
rande	VVFIN.*.Past.Sg.3	rante	rènnen
.	$_	.	.
	
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
in	PPER.Masc.Akk.Sg.3	in	ër
erkande	VVFIN.*.Past.Sg.3	erkante	erkènnen
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
jägermeister	NA.Masc.Nom.Sg.st	jagermeister	jègermèister
volgte	VVFIN.*.Past.Sg.3	volgete	volgen
nâch	PTKVZ	nâch	nâh
,	$_	,	,
dem	DDS.Masc.Dat.Sg.*	dem	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ouch	AVD	ouch	ouch
zuo	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
hunden	NA.Masc.Dat.Pl.st	hunden	hunt
gâch	ADJD.Pos	gâch	gâh
.	$_	.	.
	
underwîlen	AVD	underwîlen	unterwîlent
blies	VVFIN.Ind.Past.Sg.3	blies	blâsen
er	PPER.Masc.Nom.Sg.3	er	ër
sîn	DPOSA	sîn	sîn
horn	NA.Neut.Akk.Sg.st	horn	horn
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
der	DDART.Masc.Nom.Sg.*	der	dër
wolgeborn	ADJA.Pos.Masc.Nom.Sg.*	wolegeboren	wolegeboren
kam	VVFIN.Ind.Past.Sg.3	kam	komen
dem	DDART.Masc.Dat.Sg.*	dem	dër
jäger	NA.Masc.Dat.Sg.st	jeger	jègære
vor	PTKVZ	vore	vore
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
plân	NA.Masc.Akk.Sg.st	plân	plân
mit	APPR	mit	mit
dem	DDART.Masc.Dat.Sg.*	dem	dër
hirz	NA.Masc.Dat.Sg.st	hirze	hirz
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
junge	ADJA.Pos.Masc.Nom.Sg.wk	junge	jung
man	NA.Masc.Nom.Sg.st	man	mann
er	PPER.Masc.Nom.Sg.3	er	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
baz	AVD.Comp	baz	bazz
dan	KOUS	danne	danne
si	PPER.*.Nom.Pl.3	si	ër
alle	DID.Masc.Nom.Pl.st	alle	all
geriten	VVFIN.Ind.Past.Pl.3	geriten	gerîten
.	$_	.	.
	
het	VAFIN.*.Past.Sg.3	hæte	haben
er	PPER.Masc.Nom.Sg.3	er	ër
des	DDART.Masc.Gen.Sg.*	des	dër
meisters	NA.Masc.Gen.Sg.st	meisters	mèister
niht	PTKNEG	niht	niht
gebiten	VVPP	gebiten	bîten
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
het	VAFIN.*.Past.Sg.3	hæte	haben
den	DDART.Masc.Akk.Sg.*	den	dër
hirz	NA.Masc.Akk.Sg.st	hirz	hirz
wol	AVD	wole	wole
ervalt	VVPP	ervalt	ervèllen
.	$_	.	.
	
nu	KOUS	nû	nû
er	PPER.Masc.Nom.Sg.3	er	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
komen	VVPP	komen	komen
für	APPR	vüre	vüre
den	DDART.Masc.Akk.Sg.*	den	dër
walt	NA.Masc.Akk.Sg.st	walt	wald
ûf	APPR	ûf	ûf
die	DDART.Fem.Akk.Sg.*	die	dër
grüene	ADJA.Pos.Fem.Akk.Sg.st	grüene	grüène
heide	NA.Fem.Akk.Sg.st	heide	hèide
breit	ADJN.Fem.Akk.Sg.*	breit	brèit
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
flügeling	NA.Masc.Nom.Sg.st	vlügelinc	vlügeling
erreit	VVFIN.Ind.Past.Sg.3	erreit	errîten
den	DDART.Masc.Akk.Sg.*	den	dër
hirz	NA.Masc.Akk.Sg.st	hirz	hirz
,	$_	,	,
wan	KO*	wan	wante
er	PPER.Masc.Nom.Sg.3	er	ër
des	DDS.Neut.Gen.Sg.*	des	dër
gerte	VVFIN.*.Past.Sg.3	gerte	gëren
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
in	PPER.Masc.Akk.Sg.3	in	ër
mit	APPR	mit	mit
dem	DDART.Neut.Dat.Sg.*	dem	dër
swerte	NA.Neut.Dat.Sg.st	swerte	swërt
het	VAFIN.*.Past.Sg.3	hæte	haben
ervalt	VVPP	ervalt	ervèllen
swenn	AVG	swenne	swanne
er	PPER.Masc.Nom.Sg.3	er	ër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
.	$_	.	.
	
dô	AVD	dô	dô
gedâht	VVFIN.Ind.Past.Sg.3	gedâhte	gedènken
er	PPER.Masc.Nom.Sg.3	er	ër
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
solde	VMFIN.*.Past.Sg.3	solte	solen
des	DDART.Masc.Gen.Sg.*	des	dër
jägermeisters	NA.Masc.Gen.Sg.st	jagermeisters	jèrgermèister
bîten	VVINF	bîten	bîten
.	$_	.	.
	
der	DDS.Masc.Nom.Sg.*	der	dër
kam	VVFIN.Ind.Past.Sg.3	kam	komen
ouch	AVD	ouch	ouch
an	APPR	an	ane
den	DDART.*.Dat.Pl.*	den	dër
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
,	$_	,	,
wan	KO*	wan	wante
im	PPER.Masc.Dat.Sg.3	im	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
nâch	APPR	nâch	nâh
den	DDART.*.Dat.Pl.*	den	dër
hunden	NA.Masc.Dat.Pl.st	hunden	hunt
gâch	ADJD.Pos	gâch	gâh
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
knabe	NA.Masc.Nom.Sg.*	knabe	knabe
hêrlîch	AVD	hêrlîche	hêrlîche
zelt	NA.Neut.Akk.Sg.st	zelt	zëlt
ersach	VVFIN.Ind.Past.Sg.3	ersach	ersëhen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
gedâht	VVFIN.*.Past.Sg.3	gedâhte	gedènken
in	APPR	in	in
dem	DDART.Masc,Neut.Dat.Sg.*	dem	dër
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
sîn	DPOSN	sîn	sîn
<hie	AVD	hier	hièr
mac	VMFIN.Ind.Pres.Sg.3	mac	mügen
wol	AVD	wole	wole
der	DDART.Masc.Nom.Sg.*	der	dër
oeheim	NA.Masc.Nom.Sg.*	oeheim	oèhèime
mîn	DPOSN.Masc.Nom.Sg.wk	mîn	mîn
ligen	VVINF	ligen	ligen
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
edel	ADJA.Pos.Masc.Nom.Sg.*	edel	èdele
künic	NA.Masc.Nom.Sg.st	küninc	küning
wert	ADJN.Masc.Nom.Sg.*	wert	wërd
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
des	DRELS.Neut.Gen.Sg	des	dër
mîn	DPOSA.Neut.Nom.Sg.*	mîn	mîn
herze	NA.Neut.Nom.Sg.wk	herze	hërze
gert.>	VVFIN.Ind.Past.Sg.3	gerte	geriuwen
der	DDART.Masc.Nom.Sg.*	der	dër
hirz	NA.Masc.Nom.Sg.st	hirz	hirz
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
abe	PTKVZ	abe	abe
gejagt	VVPP	gejaget	jagen
.	$_	.	.
	
meleranz	NE.Nom.Sg	Meleranz	Meleranz
der	DDART.Masc.Nom.Sg.*	der	dër
unverzagt	ADJA.Pos.Masc.Nom.Sg.*	unverzaget	unverzaget
lie	VVFIN.Ind.Past.Sg.3	lie	lâzen
den	DDART.Masc.Akk.Sg.*	den	dër
hirz	NA.Masc.Akk.Sg.st	hirz	hirz
ze	APPR	ze	ze
bîle	NA.Masc.Dat.Sg.st	bîle	bîl
stân	VVINF	stân	stân
,	$_	,	,
vor	APPR	vore	vore
dem	DDART.Masc.Dat.Sg.*	dem	dër
walde	NA.Masc.Dat.Sg.st	walde	wald
ûf	APPR	ûf	ûf
dem	DDART.Masc.Dat.Sg.*	dem	dër
plân	NA.Masc.Dat.Sg.st	plâne	plân
,	$_	,	,
unz	KOUS	unz	unze
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.*.Akk.Pl.*	die	dër
jäger	NA.Masc.Akk.Pl.st	jeger	jègære
komen	VVINF	komen	komen
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
.	$_	.	.
	
ze	APPR	ze	ze
sînem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
meister	NA.Masc.Dat.Sg.st	meister	mèister
er	PPER.Masc.Nom.Sg.3	er	ër
dô	AVD	dô	dô
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
<her	NA.Masc.Nom.Sg.*	hêrr	hêrre
meister	NA.Masc.Nom.Sg.st	meister	mèister
,	$_	,	,
ir	PPER.*.Nom.Pl.2	ir	ir
sult	VMFIN.*.Pres.Pl.2	sulet	solen
mir	PPER.*.Dat.Sg.1	mir	ich
sagen	VVINF	sagen	sagen
,	$_	,	,
diu	DDS.Neut.Akk.Pl.*	diu	dër
zelt	VVFIN.Ind.Pres.Sg.3	zelt	zèlen
diu	DRELS.Neut.Nom.Pl	diu	dër
dort	AVD	dort	dort
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
ûf	PTKVZ	ûf	ûf
geslagen	VVPP	geslagen	slahen
,	$_	,	,
ob	KOUS	ob	obe
ir	PPER.*.Nom.Pl.2	ir	ir
wizzen	VVINF	wizzen	wizzen
wes	PW.Masc.Gen.Sg.st	wes	wër
diu	DDART.Fem.Nom.Sg.*	diu	dër
sîn.>	DPOSS.Fem.Nom.Sg.wk	sîn	sîn
ersprach<	VVFIN.Ind.Past.Sg.3	ersprach	ersprëchen
hie	AVD	hier	hièr
ligt	VVFIN.Ind.Pres.Sg.3	liget	ligen
der	DDART.Masc.Nom.Sg.*	der	dër
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
mîn	DPOSN.Masc.Nom.Sg.wk	mîn	mîn
und	KON	und	unte
diu	DDART.Fem.Nom.Sg.*	diu	dër
künegîn	NA.Fem.Nom.Sg.*	küningîn	küninginne
mîn	DPOSA.Fem.Nom.Sg.*	mîn	mîn
frouwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
durch	APPR	durch	durh
kurzwîl	NA.Fem.Akk.Sg.st	kurzewîl	kurzewîle
vor	APPR	vore	vore
dirre	DDA.Fem.Dat.Sg.*	dirre	dise
ouwe	NA.Fem.Dat.Sg.st	ouwe	ouwe
geherberget	VVPP	geherberget	hèrebërgen
ûf	APPR	ûf	ûf
disem	DDA.Neut.Dat.Sg.*	disem	dise
plân.>	NA.Masc.Dat.Sg.st	blâname	plân
dô	KOUS	dô	dô
daz	DDS.Neut.Akk.Sg.*	daz	dër
erhôrt	VVFIN.*.Past.Sg.3	erhôrte	erhoèren
der	DDART.Masc.Nom.Sg.*	der	dër
junge	ADJA.Pos.Masc.Nom.Sg.wk	junge	jung
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
der	DDART.Fem.Gen.Sg.*	der	dër
maere	NA.Fem.Gen.Sg.st	mære	mære
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
er	PPER.Masc.Nom.Sg.3	er	ër
harte	AVD	harte	harte
frô	ADJD.Pos	vrô	vrô
.	$_	.	.
	
<	ITJ	âmen	âmen
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
meister,>	NA.Masc.Nom.Sg.st	meister	mèister
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
er	PPER.Masc.Nom.Sg.3	er	ër
dô	AVD	dô	dô
,	$_	,	,
<	AVD	an	ane
lât	VVIMP.Pl.2	lât	lâzen
mich	PPER.*.Akk.Sg.1	mich	ich
den	DDART.Masc.Akk.Sg.*	den	dër
hirz	NA.Masc.Akk.Sg.st	hirz	hirz
füeren	VVINF	vüeren	vüèren
dar	AVD	dar	dâr
lebenden	ADJD.Pos	lebenden	lëbente
für	APPR	vüre	vüre
die	DDART.Fem.Akk.Sg.*	die	dër
frowen	NA.Fem.Akk.Sg.st	vrouwen	vrouwe
clâr.>	ADJD.Pos	klâr	klâr
er	PPER.Masc.Nom.Sg.3	er	ër
sprach<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
kint	NA.Neut.Nom.Sg.st	kint	kind
,	$_	,	,
wie	AVW	wie	wiè
möht	VMFIN.*.Past.Sg.3	mohte	mügen
daz	DDS.Neut.Nom.Sg.*	daz	dër
geschehen	VVINF	geschehen	geschëhen
?	$_	?	?
	
>	FM	-	-
<	FM	-	-
daz	DDS.Neut.Akk.Sg.*	daz	dër
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
iuch	PPER.*.Akk.Pl.2	iuch	ir
lâzen	VVINF	lâzen	lâzen
sehen	VVINF	sehen	sëhen
,	$_	,	,
meister>	NA.Masc.Nom.Sg.st	meister	mèister
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
knabe	NA.Masc.Nom.Sg.*	knabe	knabe
klâr	ADJN.Masc.Nom.Sg.*	klâr	klâr
<daz	KOUS	daz	êr_dazz
er	PPER.Masc.Nom.Sg.3	er	ër
mir	PPER.*.Dat.Sg.1	mir	ich
muoz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
volgen	VVINF	volgen	volgen
dar.>	AVD	dâr	dâr
bî	APPR	bî	bî
dem	DDART.Masc.Dat.Sg.*	dem	dër
gehürn	NA.Masc.Dat.Sg.*	gehuoren	gehurne
vie	VVFIN.Ind.Past.Sg.3	vieng	vâhen
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
hirz	NA.Masc.Akk.Sg.st	hirz	hirz
.	$_	.	.
	
<	ITJ	âmen	âmen
vil	AVD	vile	vile
lieber	ADJA.Pos.Masc.Nom.Sg.st	lieber	lièb
meister	NA.Masc.Nom.Sg.st	meister	mèister
,	$_	,	,
gloubent	VVIMP.Pl.2	geloubent	gelouben
mirz	PPER.*.Dat.Sg.1|PPER.Neut.Akk.Sg.3	mir|ez	ich|ër
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
mir	PPER.*.Dat.Sg.1	mir	ich
muoz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
volgen	VVINF	volgen	volgen
dan	AVD	danne	danne
.	$_	.	.
	
nu	AVD	nû	nû
heizt	VVIMP.Pl.2	heizet	hèizen
die	DDART.Masc.Akk.Pl.*	die	dër
hunde	NA.Masc.Akk.Pl.st	hunde	hunt
vâhen	VVINF	vâhen	vâhen
an	PTKVZ	an	ane
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
in	PPER.Masc.Akk.Sg.3	in	ër
mit	APPR	mit	mit
mir	PRF.Dat.Sg.st	mir	ich
füeren	VVINF	vüeren	vüèren
hin	AVD	hin	hine
.	$_	.	.
	
vil	AVD	vile	vile
gewaltic	ADJD.Pos	gewaltic	gewaltig
ich	PPER.*.Nom.Sg.1	ich	ich
sîn	PPER.Neut.Gen.Sg.3	sîn	ër
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
.	$_	.	.
	
und	KON	und	unte
waer	VAFIN.Subj.Past.Sg.3	wær	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
anger	NA.Masc.Nom.Sg.st	anger	anger
zwir	AVD	zwire	zwire
als	AVD	als	allsô
lanc	ADJD.Pos	lanc	lang
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
in	PPER.Masc.Akk.Sg.3	in	ër
âne	APPR	âne	âne
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
danc	NA.Masc.Akk.Sg.st	danc	dank
füeren	VVINF	vüeren	vüèren
für	APPR	vüre	vüre
die	DDART.Fem.Akk.Sg.*	die	dër
künegin.>	NA.Fem.Akk.Sg.st	küninginne	küninginne
der	DDART.Masc.Nom.Sg.*	der	dër
meister	NA.Masc.Gen.Pl.st	meister	mèister
sprach<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
nu	AVD	nû	nû
füere	AVD	vüre	vüre
hin.>	AVD	hin	hine
den	DDART.Masc.Akk.Sg.*	den	dër
hirz	NA.Masc.Akk.Sg.st	hirz	hirz
fuort	VVFIN.*.Past.Sg.3	vuorte	vüèren
der	DDART.Masc.Nom.Sg.*	der	dër
knabe	NA.Masc.Nom.Sg.*	knabe	knabe
dan	AVD	danne	danne
dâ	PAVD	dâ	dâr
in	PAVAP	in	in
vil	AVD	vile	vile
manic	DIA.Masc.Nom.Sg.*	manic	manig
werder	ADJA.Pos.Masc.Nom.Sg.st	werder	wërd
man	NA.Masc.Nom.Sg.st	man	mann
und	KON	und	unte
ouch	AVD	ouch	ouch
vil	NA.Neut.Akk.Sg.st	vile	vile
schoener	ADJA.Pos.*.Gen.Pl.st	schoener	schoène
frowen	NA.Fem.Gen.Pl.*	vrouwen	vrouwe
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
,	$_	,	,
(	$_	(	(
vil	AVD	vile	vile
manger	DIS.Masc.Nom.Sg.st	maniger	manig
im	PPER.Masc.Dat.Sg.3	im	ër
dô	AVD	dô	dô
sterke	NA.Fem.Akk.Sg.st	sterke	stèrke
jach	VVFIN.Ind.Past.Sg.3	jach	jëhen
)	$_	)	)
für	APPR	vüre	vüre
künec	NA.Masc.Nom.Sg.st	küninc	küning
artûs	NE.Nom.Sg	Artûs	Artûs
poulûn	NE.Nom.Sg	Povulûn	Povlun
.	$_	.	.
	
ein	DIART.Masc.Nom.Sg.*	ein	èin
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
dem	DDART.Masc.Dat.Sg.*	dem	dër
britûn	NA.Masc.Dat.Sg.*	britungen	brîte
