welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
iuch	PPER.*.Akk.Pl.2	iuch	ir
gesehen	VVPP	gesehen	sëhen
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ze	APPR	ze	ze
vreuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
mir	PPER.*.Dat.Sg.1	mir	ich
getân	VVPP	getân	tuon
.	$_	.	.
	
waz	PW.Neut.Akk.Sg.st	waz	wër
saget	VVFIN.*.Pres.Pl.2	saget	sagen
ir	PPER.*.Nom.Pl.2	ir	ir
mir	PPER.*.Dat.Sg.1	mir	ich
nû	AVD	nû	nû
maere	AVD.Comp	mêre	mêre
?	$_	?	?
	
mit	APPR	mit	mit
mînes	DPOSA.Neut.Gen.Sg.st	mînes	mîn
herzen	NA.Neut.Gen.Sg.wk	herzen	hërze
swaere	NA.Fem.Dat.Sg.st	swære	swære
mit	APPR	mit	mit
vreuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
inder	AVD	iener	ièner
wider	PTKVZ	wider	widere
komen	VVFIN.Ind.Past.Pl.3	kômen	komen
?	$_	?	?
	
gerne	AVD	gerne	gërne
haete	VAFIN.*.Past.Sg.1	hæte	haben
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
vernomen	VVPP	vernomen	vernëmen
,	$_	,	,
wie	AVW	wie	wiè
ir	PPER.*.Nom.Pl.2	ir	ir
habt	VAFIN.*.Pres.Pl.2	habet	haben
geworben	VVPP	geworben	wërben
dort	AVD	dort	dort
.	$_	.	.
	
aller	DIA.*.Gen.Pl.st	aller	all
mîner	DPOSA.*.Gen.Pl.st	mîner	mîn
vreuden	NA.Fem.Gen.Pl.*	vröuweden	vröuwede
hort	NA.Masc.Nom.Sg.st	hort	hord
unde	KON	unde	unte
ouch	AVD	ouch	ouch
gar	AVD	gar	gare
mîn	DPOSA	mîn	mîn
swaere	NA.Fem.Nom.Sg.st	swære	swære
daz	DDS.Neut.Nom.Sg.*	daz	dër
stêt	VVFIN.Ind.Pres.Sg.3	stêt	stân
an	APPR	an	ane
iuwerm	DPOSA.Neut.Dat.Sg.st	iuwerm	iuwer
maere.>	NA.Neut.Dat.Sg.st	mære	mære
dô	AVD	dô	dô
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
lantgrâve	NA.Masc.Nom.Sg.*	lantgrâve	lantgrâve
erewîn	NE.Nom.Sg	Erewîn	Erewîn
<herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
,	$_	,	,
ir	PPER.*.Nom.Pl.2	ir	ir
sult	VMFIN.*.Pres.Pl.2	sulet	solen
vrô	ADJD.Pos	vrô	vrô
sîn	VAINF	sîn	sîn
.	$_	.	.
	
daz	DDART.Neut.Nom.Sg.*	daz	dër
maere	NA.Neut.Nom.Sg.st	mære	mære
allez	DIN.Neut.Nom.Sg.st	allez	all
ebene	AVD	ebene	ëbene
stêt	VVFIN.Ind.Pres.Sg.3	stêt	stân
,	$_	,	,
nâch	APPR	nâch	nâh
iuwerm	DPOSA.Masc.Dat.Sg.st	iuwerm	iuwer
willen	NA.Masc.Dat.Sg.*	willen	wille
ez	PPER.Neut.Nom.Sg.3	ez	ër
schône	AVD	schône	schône
gêt	VVFIN.Ind.Pres.Sg.3	gêt	gân
,	$_	,	,
ez	PPER.Neut.Nom.Sg.3	ez	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
geschaffet	VVPP	geschaffet	schaffen
allez	DIS.Neut.Nom.Sg.st	allez	all
gar	AVD	gar	gare
.	$_	.	.
	
sûmt	VVIMP.Pl.2	sûmet	sûmen
iuch	PRF.Akk.Pl.st	iuch	ir
niht	PTKNEG	niht	niht
und	KON	und	unte
varet	VVIMP.Pl.2	varet	varen
dar	AVD	dar	dâr
:	$_	:	:
iuch	PPER.*.Akk.Pl.2	iuch	ir
irret	VVFIN.Ind.Pres.Sg.3	irret	irren
dort	AVD	dort	dort
niemen	DIA.*.Nom.Sg.st	nieman	nièmannd
niht	PTKNEG	niht	niht
.	$_	.	.
	
trahtet	VVFIN.Ind.Pres.Sg.3	trahtet	trahten
niwan	AVD	niuwan	niuwan
daz	DDS.Neut.Nom.Sg.*	daz	dër
bî	APPR	bî	bî
zîte	NA.Fem,Neut.Dat.Sg.st	zîte	zît
geschiht	VVFIN.Ind.Pres.Sg.3	geschihet	geschëhen
.	$_	.	.
	
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
suln	VMFIN.*.Pres.Pl.1	sulen	solen
wir	PPER.*.Nom.Pl.1	wir	wir
iu	PPER.*.Dat.Pl.2	iu	ir
maere	NA.Fem,Neut.Akk.*.st	mære	mære
sagen	VVINF	sagen	sagen
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
sul	VMFIN.*.Pres.Pl.1	sulen	solen
wir	PPER.*.Nom.Pl.1	wir	wir
iuch	PPER.*.Akk.Pl.2	iuch	ir
niht	PTKNEG	niht	niht
verdagen	VVINF	verdagen	verdagen
:	$_	:	:
iu	PPER.*.Dat.Pl.2	iu	ir
enbiutet	VVFIN.Ind.Pres.Sg.3	entbiutet	entbièten
dienstes	NA.Masc,Neut.Gen.Sg.st	dienestes	diènest
unde	KON	unde	unte
guot	NA.Neut.Akk.Sg.st	guot	guot
darzuo	PAVD|PAVAP	dâr|zuo	dâr|zuo
willigen	ADJA.Pos.Masc.Akk.Sg.*	willigen	willig
muot	NA.Masc.Akk.Sg.st	muot	muot
der	DDART.Masc.Nom.Sg.*	der	dër
künic	NA.Masc.Nom.Sg.st	küninc	küning
von	APPR	von	von
westenmer	NE.Dat.Sg	Westenmer	Westenmær
.	$_	.	.
	
lîp	NA.Masc.Nom.Sg.st	lîp	lîb
lant	NA.Neut.Nom.Sg.st	lant	lant
unde	KON	unde	unte
her	NA.Neut.Nom.Sg.st	her	hère
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
iu	PPER.*.Dat.Pl.2	iu	ir
immer	AVD	iemer	ièmer
undertân	ADJD.Pos	undertân	untertân
.	$_	.	.
	
nû	AVD	nû	nû
gâhet	VVIMP.Pl.2	gâhet	gâhen
,	$_	,	,
iuwer	DPOSA	iuwer	iuwer
wille	NA.Masc.Nom.Sg.*	wille	wille
derst	DDS.Masc.Nom.Sg.*|VAFIN.Ind.Pres.Sg.3	der|ist	dër|sîn
ergân.>	VVIMP.Sg.2	erganc	ergân
<	ITJ	âmen	âmen
wes	PW.Neut.Gen.Sg.st	wes	wër
solt	VMFIN.*.Past.Pl.1	solten	solen
wir	PPER.*.Nom.Pl.1	wir	wir
danne	AVD	danne	danne
beiten	VVINF	beiten	bèiten
?	$_	?	?
	
>dô	AVD	<unknown>	dô
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
et	AVD	et	ëht
gereiten	VVINF	gereiten	gerèiten
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
kiel	NA.Masc.Akk.Sg.st	kiel	kièl
hêrlîch	ADJN	hêrlich	hêrlich
.	$_	.	.
	
sô	AVD	sô	sô
vil	NA.Neut.Akk.Sg.st	vile	vile
der	DDART.Fem.Gen.Sg.*	der	dër
hôhen	ADJA.Pos.Fem.Gen.Sg.wk	hôhen	hôh
zierde	NA.Fem.Gen.Sg.st	zierde	zièrede
rîch	NA.Neut.Akk.Sg.st	rîche	rîche
bat	VVFIN.Ind.Past.Sg.3	bat	biten
er	PPER.Masc.Nom.Sg.3	er	ër
an	APPR	an	ane
diu	DDART.Neut.Akk.Pl.*	diu	dër
schif	NA.Neut.Akk.Pl.st	schif	schiff
tragen	VVINF	tragen	tragen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
wol	AVD	wole	wole
in	APPR	in	in
zweinzic	CARDA.*.Dat.Pl.*	zweinzic	zwèinzig
tagen	NA.Masc.Dat.Pl.st	tagen	tag
allez	DIS.Neut.Akk.Sg.st	allez	all
daz	DRELS.Neut.Akk.Sg	daz	dër
er	PPER.Masc.Nom.Sg.3	er	ër
solde	VMFIN.*.Past.Sg.3	solte	solen
od	KON	oder	oder
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
vüeren	VVINF	vüeren	vüèren
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
.	$_	.	.
	
die	DRELS.Masc.Akk.Pl	die	dër
er	PPER.Masc.Nom.Sg.3	er	ër
mit	APPR	mit	mit
im	PPER.Masc.Dat.Sg.3	im	ër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
hân	VAINF	hân	haben
,	$_	,	,
vier	CARDA.Neut.Akk.Pl.*	vier	vièr
tûsent	ADJS.Pos.Neut.Akk.Pl.*	tûsent	tûsent
sîner	DPOSA.*.Gen.Pl.st	sîner	sîn
man	NA.Masc.Gen.Pl.st	manne	mann
,	$_	,	,
die	DRELS.Masc.Nom.Pl	die	dër
alle	DIA.Masc.Akk.Pl.st	alle	all
ritter	NA.Masc.Akk.Pl.st	ritter	rîtære
hiezen	VVFIN.*.Past.Pl.3	hiezen	hèizen
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
in	PPER.Masc.Akk.Sg.3	in	ër
ouch	AVD	ouch	ouch
niht	PTKNEG	niht	niht
liezen	VVFIN.*.Past.Pl.3	liezen	lâzen
lîbes	NA.Masc.Gen.Sg.st	lîbes	lîb
noch	KON	noch	noh
guotes	NA.Neut.Gen.Sg.st	guotes	guot
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
wol	AVD	wole	wole
des	DDART.Masc,Neut.Gen.Sg.*	des	dër
muotes	NA.Masc,Neut.Gen.Sg.st	muotes	muot
,	$_	,	,
swaz	PG.Neut.Akk.Sg.st	swaz	swër
in	PPER.*.Dat.Pl.3	in	ër
ir	DPOSA	ire	ire
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
gebôt	VVFIN.Ind.Past.Sg.3	gebôt	gebièten
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
daz	DDS.Neut.Akk.Sg.*	daz	dër
durch	APPR	durch	durh
deheine	DIA.Fem.Akk.Sg.st	decheine	dehèin
nôt	NA.Fem.Akk.Sg.st	nôt	nôt
nimmer	AVD	niemer	nièmer
niht	PTKNEG	niht	niht
geliezen	VVFIN.*.Past.Pl.3	geliezen	gelâzen
,	$_	,	,
swâ	AVG	swâ	swâr
si	PPER.*.Nom.Pl.3	si	ër
ze	APPR	ze	ze
sturme	NA.Masc.Dat.Sg.st	sturme	sturm
stiezen	VVFIN.*.Past.Pl.3	stiezen	stôzen
.	$_	.	.
	
dô	AVD	dô	dô
rietn	VVFIN.*.Past.Pl.3	<unknown>	râten
im	PPER.Masc.Dat.Sg.3	im	ër
sîne	DPOSA.*.Nom.Pl.st	sîne	sîn
liute	NA.Masc,Neut.Nom.Pl.st	liute	liut
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
nû	AVD	nû	nû
bediute	VVFIN.*.Pres.Sg.1	bediute	bediuten
.	$_	.	.
	
<nu	AVD	<unknown>	nû
besetzet	VVIMP.Pl.2	besetzet	besètzen
iuwer	DPOSA	iuwer	iuwer
veste	NA.Fem.Akk.Sg.st	veste	vèste
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
iu	PPER.*.Dat.Pl.2	iu	ir
daz	DDART.Neut.Nom.Sg.*	daz	dër
beste	ADJA.Sup.Neut.Nom.Sg.wk	bezziste	bèzzist
.	$_	.	.
	
dar	PAVD	dâr	dâr
an	PAVAP	an	ane
ir	PPER.*.Nom.Pl.2	ir	ir
niht	PTKNEG	niht	niht
erwindet	VVFIN.*.Pres.Pl.2	erwindet	erwinten
.	$_	.	.
	
schaffet	VVIMP.Pl.2	schaffet	schaffen
daz	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
vindet	VVFIN.*.Pres.Pl.2	vindet	vinden
mit	APPR	mit	mit
gemache	NA.Masc,Neut.Dat.Sg.st	gemache	gemach
hie	AVD	hier	hièr
heime	AVD	heime	hèime
iuwer	DPOSA.Neut.Akk.Sg.*	iuwer	iuwer
lant.>	NA.Neut.Akk.Sg.st	lant	lant
daz	DDS.Neut.Nom.Sg.*	daz	dër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
betrahtet	VVPP	betrahtet	betrahten
alzehant	AVD	alzehant	allzehant
,	$_	,	,
wen	PW.Masc.Akk.Sg.st	wen	wër
er	PPER.Masc.Nom.Sg.3	er	ër
hie	AVD	hier	hièr
heime	AVD	heime	hèime
wolte	VMFIN.*.Past.Sg.3	wolte	wèllen
lân	VVINF	lân	lâzen
.	$_	.	.
	
reinher	ADJD.Pos	reiner	rèine
unde	KON	unde	unte
îwân	AVD	iuwan	ièwâne
den	DDS.*.Dat.Pl.*	den	dër
enphalch	VVFIN.Ind.Past.Sg.3	entvalch	entvëlhen
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Fem.Akk.Sg.*	die	dër
marke	NA.Fem.Akk.Sg.st	marke	marke
und	KON	und	unte
schuof	VVFIN.Ind.Past.Sg.3	schuof	schèpfen
in	APPR	in	in
helfe	NA.Fem.Akk.Sg.st	helfe	hëlfe
starke	AVD	starke	starke
.	$_	.	.
	
dâ	PAVD	dâ	dâr
mit	PAVAP	mit	mite
tet	VVFIN.*.Past.Sg.3	tet	tuon
er	PPER.Masc.Nom.Sg.3	er	ër
in	PPER.*.Dat.Pl.3	in	ër
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
segen	NA.Masc.Akk.Sg.st	segen	sëgen
und	KON	und	unte
bâten	VVFIN.Ind.Past.Pl.3	bâten	biten
si	PPER.*.Nom.Pl.3	si	ër
got	NA.Masc.Akk.Sg.st	got	got
sîn	PPER.Masc.Gen.Sg.3	sîn	ër
pflegen	VVINF	pflegen	pflëgen
.	$_	.	.
	
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
schiedens	VVFIN.*.Past.Pl.3|PPER.Masc.Nom.Pl.3	schieden|si	schèiden|ër
dô	AVD	dô	dô
von	PAVAP	von	vone
dan	AVD	danne	danne
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
künec	NA.Masc.Nom.Sg.st	küninc	küning
und	KON	und	unte
die	DDART.Fem.Nom.Sg.*	die	dër
ander	DIA	ander	ander
sîne	DPOSA.*.Nom.Pl.st	sîne	sîn
man	NA.Masc.Nom.Pl.st	manne	mann
über	APPR	über	über
sê,	$_	sê	sê
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
wâr	ADJD.Pos	wâr	wâr
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
heten	VAFIN.*.Past.Pl.3	hæten	haben
sich	PRF.Akk.*.*	sich	sich
bewegen	VVPP	bewegen	bewëgen
gar	AVD	gar	gare
aller	DIA.Fem.Gen.Sg.st	aller	all
sorge	NA.Fem.Gen.Sg.st	sorge	sorge
sunder	APPR	sunder	sunter
wanc	NA.Masc.Akk.Sg.st	wanc	wank
.	$_	.	.
	
nû	AVD	nû	nû
was	VAFIN.Ind.Past.Sg.3	was	wësen
ez	PPER.Neut.Nom.Sg.3	ez	ër
in	APPR	in	in
den	DDART.*.Dat.Pl.*	den	dër
tagen	NA.Masc.Dat.Pl.st	tagen	tag
lanc	ADJD.Pos	lanc	lang
,	$_	,	,
sô	KO*	sô	sô
allez	DIA.Neut.Nom.Sg.st	allez	all
daz	DDS.Neut.Nom.Sg.*	daz	dër
meiget	VVFIN.Ind.Pres.Sg.3	meiget	mèigen
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
rehte	ADJA.Pos.Neut.Akk.Sg.wk	rehte	rëht
vreuden	NA.Fem.Akk.Pl.st	vröuweden	vröuwede
heiget	VVFIN.Ind.Pres.Sg.3	heiget	hèigen
,	$_	,	,
beide	KON	beide	bèide
wilde	ADJD.Pos	wilde	wilde
unde	KON	unde	unte
zam	ADJD.Pos	zam	zam
,	$_	,	,
sô	KO*	sô	sô
diu	DDART.Fem.Nom.Sg.*	diu	dër
heide	NA.Fem.Nom.Sg.*	heide	hèide
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
tan	NA.Masc.Nom.Sg.st	tan	tann
geblüemet	VVPP	geblüemet	blüèmen
allez	DIA.Neut.Nom.Sg.st	allez	all
schône	AVD	schône	schône
lît	VVFIN.Ind.Pres.Sg.3	lît	ligen
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
süezen	ADJA.Pos.Fem.Dat.Sg.wk	süezen	süèze
sumerzît	NA.Fem.Dat.Sg.st	sumerzît	sumerzît
.	$_	.	.
	
nû	AVD	nû	nû
merket	VVIMP.Pl.2	merket	mèrken
waz	PW.Neut.Akk.Sg.st	waz	wër
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
sage	VVFIN.*.Pres.Sg.1	sage	sagen
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
heten	VAFIN.*.Past.Pl.3	hæten	haben
niwan	AVD	niuwan	niuwan
aht	CARDA.Masc.Akk.Pl.*	ahte	ahte
tage	NA.Masc.Akk.Pl.st	tage	tag
gevaren	VVPP	gevaren	varen
ûf	APPR	ûf	ûf
dem	DDART.Masc.Dat.Sg.*	dem	dër
breiten	ADJA.Pos.Masc.Dat.Sg.wk	breiten	brèit
sê	NA.Masc.Dat.Sg.st	sê	sêw
,	$_	,	,
dô	AVD	dô	dô
kom	VVFIN.Ind.Past.Sg.3	kom	komen
ein	DIART.Masc.Nom.Sg.*	ein	èin
sturm	NA.Masc.Nom.Sg.st	sturm	sturm
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
tet	VVFIN.*.Past.Sg.3	tet	tuon
in	PPER.*.Dat.Pl.3	in	ër
wê	AVD	wê	wê
und	KON	und	unte
sluoc	VVFIN.Ind.Past.Sg.3	sluoc	slahen
si	PPER.*.Akk.Pl.3	si	ër
leider	AVD	leider	lèider
alzehant	AVD	alzehant	allzehant
ûz	PTKVZ	ûz	ûz
in	APPR	in	in
ein	DIART.Neut.Akk.Sg.*	ein	èin
einlant	NA.Neut.Akk.Sg.st	einlant	èinlant
.	$_	.	.
	
ankern	PTKVZ|VVINF	an|kêrn	ane|kêren
dô	KOUS	dô	dô
der	DDART.Masc.Nom.Sg.*	der	dër
künic	NA.Masc.Nom.Sg.st	küninc	küning
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
.	$_	.	.
	
die	DDART.*.Akk.Pl.*	die	dër
segel	NA.Masc.Akk.Pl.st	segel	sëgel
man	PI.*.Nom.Sg.st	man	man
dô	AVD	dô	dô
nider	PTKVZ	nider	nidere
liez	VVFIN.Ind.Past.Sg.3	liez	lâzen
.	$_	.	.
	
ab	APPR	ab	abe
den	DDART.*.Dat.Pl.*	den	dër
schiffen	NA.Neut.Dat.Pl.st	schiffen	schiff
si	PPER.*.Nom.Pl.3	si	ër
dô	AVD	dô	dô
giengen	VVFIN.*.Past.Pl.3	giengen	gân
,	$_	,	,
bî	APPR	bî	bî
handen	NA.Fem.Dat.Pl.st	handen	hant
si	PPER.*.Nom.Pl.3	si	ër
sich	PRF.Akk.*.*	sich	sich
viengen	VVFIN.*.Past.Pl.3	viengen	vâhen
und	KON	und	unte
clagten	VVFIN.*.Past.Pl.3	klageten	klagen
vaste	AVD	vaste	vaste
ir	DPOSA	ire	ire
herzen	NA.Neut.Gen.Sg.wk	herzen	hërze
sêr	NA.Masc,Neut.Akk.Sg.st	sêr	sêr
.	$_	.	.
	
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
zît	NA.Fem.Dat.Sg.st	zît	zît
dô	AVD	dô	dô
lief	VVFIN.Ind.Past.Sg.3	lief	loufen
dort	AVD	dort	dort
her	AVD	her	hëre
ein	DIART.Masc.Nom.Sg.*	ein	èin
wurm	NA.Masc.Nom.Sg.st	wurm	wurm
ungehiuwer	ADJN.Masc.Nom.Sg.st	ungehiuwer	ungehiure
,	$_	,	,
dem	DDS.Masc.Dat.Sg.*	dem	dër
vuor	APPR	vüre	vüre
wildez	ADJA.Pos.Neut.Nom.Sg.st	wildez	wilde
viuwer	NA.Neut.Nom.Sg.st	viur	viur
ûz	PTKVZ	ûz	ûz
ze	APPR	ze	ze
sînem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
munde	NA.Masc.Dat.Sg.st	munde	mund
,	$_	,	,
swenne	AVG	swenne	swanne
er	PPER.Masc.Nom.Sg.3	er	ër
blâsen	VVINF	blâsen	blâsen
begunde	VVFIN.*.Past.Sg.3	begunde	beginnen
.	$_	.	.
	
sîn	DPOSA	sîn	sîn
stimme	NA.Fem.Nom.Sg.*	stimme	stimme
unmaezlîche	AVD	unmâzlîche	unmæziglîche
erdôz	VVFIN.Ind.Past.Sg.3	erdôz	erdièzen
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
tier	NA.Neut.Nom.Sg.st	tier	tièr
kûm	ADJN.Neut.Nom.Sg.*	kum	kûme
alsô	AVD	alsô	allsô
grôz	ADJD.Pos	grôz	grôz
sam	KO*	sam	same
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
mâze	NA.Fem.Dat.Sg.st	mâze	mâze
ein	DIART	ein	èin
serpant	NA.Masc.Nom.Sg.st	serpant	sërpant
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
künic	NA.Masc.Nom.Sg.st	küninc	küning
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
dô	AVD	dô	dô
zehant	AVD	zehant	zehant
<	APPR	umbe	in
ir	DPOSA	ire	ire
herrn	NA.Masc.Dat.Sg.*	hêrrn	hêrre
,	$_	,	,
uns	PPER.*.Akk.Pl.1	uns	wir
welle	VMFIN.Subj.Pres.Sg.3	welle	wèllen
got	NA.Masc.Nom.Sg.st	got	got
nern	VVINF	nern	nèren
und	KON	und	unte
mit	APPR	mit	mit
sîner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
craft	NA.Fem.Dat.Sg.st	kraft	kraft
wern	VVINF	wern	wèren
,	$_	,	,
wir	PPER.*.Nom.Pl.1	wir	wir
sîn	VAFIN.*.Pres.Pl.1	sîn	sîn
anders	AVD	anders	anderes
ungenesen.>	ADJD.Pos	ungenesen	ungenësen
dô	AVD	dô	dô
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
er	PPER.Masc.Nom.Sg.3	er	ër
ab	APPR	ab	abe
den	DDART.*.Dat.Pl.*	den	dër
schiffen	NA.Neut.Dat.Pl.st	schiffen	schiff
lesen	VVINF	lesen	lësen
gêren	VVINF	geêren	geêren
und	KON	und	unte
ouch	AVD	ouch	ouch
schilde	NA.Masc.Akk.Pl.st	schilde	schilt
gegen	APPR	gegen	gègen
dem	DDART.Neut.Dat.Sg.*	dem	dër
starken	ADJA.Pos.Neut.Dat.Sg.wk	starken	stark
wilde	NA.Neut.Dat.Sg.st	wilde	wild
.	$_	.	.
	
iedoch	AVD	iedoch	ièdoh
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
vernomen	VVPP	vernomen	vernëmen
,	$_	,	,
des	DDART.Neut.Gen.Sg.*	des	dër
êrsten	ADJA.Sup.Neut.Gen.Sg.wk	êrsten	êrest
was	VAFIN.Ind.Past.Sg.3	was	wësen
ze	APPR	ze	ze
were	NA.Fem.Dat.Sg.st	were	wère
komen	VVPP	komen	komen
tîbalt	NE.Nom.Sg	Tibalt	Tibalt
der	DDART.Masc.Nom.Sg.*	der	dër
guote	ADJA.Pos.Masc.Nom.Sg.wk	guote	guot
.	$_	.	.
	
mit	APPR	mit	mit
unverzagtem	ADJA.Pos.Masc,Neut.Dat.Sg.st	unverzagetem	unverzaget
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
ze	APPR	ze	ze
schirme	NA.Masc.Dat.Sg.st	schirme	schirm
bôt	VVFIN.Ind.Past.Sg.3	bôt	bièten
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
schilt	NA.Masc.Akk.Sg.st	schilt	schilt
.	$_	.	.
	
den	DDART.Masc.Akk.Sg.*	den	dër
gêren	NA.Masc.Akk.Sg.*	gêren	gêre
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
der	DDART.Masc.Nom.Sg.*	der	dër
recke	NA.Masc.Nom.Sg.wk	recke	rècke
milt	ADJN.Masc.Nom.Sg.*	milt	milte
und	KON	und	unte
lief	VVFIN.Ind.Past.Sg.3	lief	loufen
den	DDART.Masc.Akk.Sg.*	den	dër
starken	ADJA.Pos.Masc.Akk.Sg.*	starken	stark
wurm	NA.Masc.Akk.Sg.st	wurm	wurm
an	PTKVZ	an	ane
,	$_	,	,
do	KOUS	dô	dô
er	PPER.Masc.Nom.Sg.3	er	ër
im	PPER.Masc.Dat.Sg.3	im	ër
sô	AVD	sô	sô
nâhen	AVD	nâhen	nâhene
was	VAFIN.Ind.Past.Sg.3	was	wësen
gegân	VVPP	gegân	gân
,	$_	,	,
und	KON	und	unte
begunde	VVFIN.*.Past.Sg.3	begunde	beginnen
mit	APPR	mit	mit
vil	AVD	vile	vile
starken	ADJA.Pos.*.Dat.Pl.*	starken	stark
slegen	NA.Masc.Dat.Pl.st	slegen	slag
sô	AVD	sô	sô
baltlîchen	AVD	baltlîchen	baldlîche
dar	PAVD	dâr	dâr
ze	PAVAP	ze	zuo
legen	VVINF	legen	lègen
mit	APPR	mit	mit
stechen	NA.Neut.Dat.Sg.st	stechene	stëchen
und	KON	und	unte
mit	APPR	mit	mit
schiezen	NA.Masc.Dat.Pl.st	schiezen	schièz
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
liez	VVFIN.Ind.Past.Sg.3	liez	lâzen
in	PPER.Masc.Akk.Sg.3	in	ër
niht	PTKNEG	niht	niht
geniezen	VVINF	geniezen	genièzen
daz	DDART.Neut.Nom.Sg.*	daz	dër
tier	NA.Neut.Nom.Sg.st	tier	tièr
ungehiuwer	ADJN	ungehiure	ungehiure
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
blies	VVFIN.Ind.Past.Sg.3	blies	blâsen
dar	AVD	dar	dâr
ein	DIART.Neut.Nom.Sg.*	ein	èin
viuwer	NA.Neut.Nom.Sg.st	viur	viur
,	$_	,	,
dâ	PAVD	dâ	dâr
von	PAVAP	von	vone
der	DDART.Masc.Nom.Sg.*	der	dër
vil	AVD	vile	vile
werde	ADJA.Pos.Masc.Nom.Sg.wk	werde	wërd
man	NA.Masc.Nom.Sg.st	man	mann
kom	VVFIN.Ind.Past.Sg.3	kom	komen
lebendic	ADJD.Pos	lebentic	lëbentig
nimmermêre	AVD|AVD.Comp	niemer|mêre	nièmer|mêre
dan	AVD	danne	danne
.	$_	.	.
	
in	APPR	in	in
den	DDART.*.Dat.Pl.*	den	dër
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
