gedaehte	VVFIN.Subj.Past.Sg.3	gedæhte	gedènken
macheten	VVFIN.*.Past.Pl.3	macheten	machen
.	$_	.	.
	
die	DDART.Fem,Masc.Nom.Pl.*	die	dër
liehten	ADJA.Pos.*.Nom.Pl.wk	liehten	lièht
bluomen	NA.Fem,Masc.Nom.Pl.*	bluomen	bluome
lacheten	VVFIN.*.Past.Pl.3	lacheten	lachen
uz	APPR	ûz	ûz
dem	DDART.Neut.Dat.Sg.*	dem	dër
betouwetem	ADJA.Pos.Neut.Dat.Sg.st	betouwetem	betouwen
grase	NA.Neut.Dat.Sg.st	grase	gras
.	$_	.	.
	
des	DDART.Masc.Gen.Sg.*	des	dër
meien	NA.Masc.Gen.Sg.wk	meien	mèie
vriunt	NA.Masc.Nom.Sg.st	vriunt	vriunt
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
grüene	ADJA.Pos.Masc.Nom.Sg.wk	grüene	grüène
wase	NA.Masc.Nom.Sg.wk	wase	wase
der	DDS.Masc.Nom.Sg.*	der	dër
haete	VAFIN.*.Past.Sg.3	hæte	haben
uz	APPR	ûz	ûz
bluomen	NA.Fem,Masc.Dat.Pl.*	bluomen	bluome
an	PTKVZ	an	ane
geleit	VVPP	geleit	lègen
so	AVD	sô	sô
wunneclichiu	ADJA.Pos.Neut.Akk.Pl.st	wünniclîchiu	wünniglich
sumercleit	NA.Neut.Akk.Pl.st	sumerkleit	sumerklèid
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
den	DDART.*.Dat.Pl.*	den	dër
lieben	ADJA.Pos.*.Dat.Pl.*	lieben	lièb
gesten	NA.Masc.Dat.Pl.st	gesten	gast
in	APPR	in	in
ir	DPOSA.*.Dat.Pl.*	ire	ire
ougen	NA.Neut.Dat.Pl.wk	ougen	ouge
widerglesten	VVFIN.*.Past.Pl.3	widerglesteten	widerglèsten
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
süeze	ADJA.Pos.Fem.Nom.Sg.wk	süeze	süèze
boumbluot	NA.Fem.Nom.Sg.st	boumbluot	boumbluot
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
den	DDART.Masc.Akk.Sg.*	den	dër
man	NA.Masc.Akk.Sg.st	man	mann
so	AVD	sô	sô
rehte	AVD	rehte	rëhte
suoze	AVD	suoze	suoze
lachend	VVPS	lachente	lachen
an	PTKVZ	an	ane
,	$_	,	,
daz	KOUS	daz	dazz
sich	PRF.Akk.*.*	sich	sich
daz	DDART.Neut.Nom.Sg.*	daz	dër
herze	NA.Neut.Nom.Sg.wk	herze	hërze
und	KON	und	unte
al	DIA.Masc.Nom.Sg.*	al	all
der	DDART.Masc.Nom.Sg.*	der	dër
muot	NA.Masc.Nom.Sg.st	muot	muot
wider	AVD	wider	widere
an	APPR	an	ane
die	DDART.Fem.Akk.Sg.*	die	dër
lachende	ADJA.Pos.Fem.Akk.Sg.st	lachente	lachen
bluot	NA.Neut.Akk.Pl.st	bluot	bluot
mit	APPR	mit	mit
spilenden	ADJA.Pos.*.Dat.Pl.*	spilenten	spilen
ougen	NA.Neut.Dat.Pl.wk	ougen	ouge
machete	VVFIN.*.Past.Sg.3	machete	machen
und	KON	und	unte
ir	PPER.*.Gen.Pl.3	ir	ër
allez	DIA.Neut.Akk.Sg.st	allez	all
widerlachete	VVFIN.*.Past.Sg.3	widerlachete	widerlachen
.	$_	.	.
	
daz	DDART.Neut.Nom.Sg.*	daz	dër
senfte	ADJA.Pos.Neut.Nom.Sg.wk	senfte	sèmfte
vogelgedoene	NA.Neut.Nom.Sg.st	vogelgetæne	vogelgetoène
,	$_	,	,
daz	DDART.Neut.Nom.Sg.*	daz	dër
süeze	ADJA.Pos.Neut.Akk.Sg.wk	süeze	süèze
,	$_	,	,
daz	DDART.Neut.Nom.Sg.*	daz	dër
schoene	ADJA.Pos.Neut.Nom.Sg.wk	schoene	schoène
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
oren	NA.Neut.Dat.Pl.wk	ôren	ôre
unde	KON	unde	unte
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
vil	AVD	vile	vile
dicke	AVD	dicke	dicke
kumet	VVFIN.Ind.Pres.Sg.3	kumet	komen
ze	APPR	ze	ze
guote	NA.Neut.Dat.Sg.st	guote	guot
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
vulte	VVFIN.*.Past.Sg.3	vulte	vüllen
da	AVD	dâ	dâr
berge	NA.Masc.Akk.Pl.st	berge	bërg
unde	KON	unde	unte
tal	NA.Masc,Neut.Akk.Sg.st	tal	tal
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
saelege	ADJA.Pos.Fem.Nom.Sg.wk	sælige	sælig
nahtegal	NA.Fem.Nom.Sg.*	nahtegal	nahtegale
,	$_	,	,
daz	DDART.Neut.Nom.Sg.*	daz	dër
liebe	ADJA.Pos.Neut.Nom.Sg.wk	liebe	lièb
süeze	ADJA.Pos.Neut.Nom.Sg.wk	süeze	süèze
vogelin	NA.Neut.Nom.Sg.st	vogellîn	vogellîn
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
iemer	AVD	iemer	ièmer
süeze	ADJD.Pos	süeze	süèze
müeze	VMFIN.Subj.Pres.Sg.3	müeze	müèzen
sin	VAINF	sîn	sîn
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
kallete	VVFIN.*.Past.Sg.3	kallete	kallen
uz	APPR	ûz	ûz
der	DDART.Fem.Dat.Sg.*	der	dër
blüete	NA.Fem.Dat.Sg.st	blüete	bluot
mit	APPR	mit	mit
solher	DDA.Fem.Dat.Sg.st	solicher	solich
übermüete	NA.Fem.Dat.Sg.st	übermüete	übermüète
,	$_	,	,
daz	KOUS	daz	dazz
da	AVD	dâ	dâr
manc	DIA.Neut.Nom.Sg.*	manic	manig
edele	ADJA.Pos.Neut.Nom.Sg.wk	edele	èdele
herze	NA.Neut.Nom.Sg.wk	herze	hërze
van	APPR	van	von
vröude	NA.Fem.Dat.Sg.st	vröuwede	vröuwede
unde	KON	unde	unte
hohen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
muot	NA.Masc.Akk.Sg.st	muot	muot
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
.	$_	.	.
	
da	AVD	dâ	dâr
haete	VAFIN.*.Past.Sg.3	hæte	haben
diu	DDART.Fem.Nom.Sg.*	diu	dër
geselleschaft	NA.Fem.Nom.Sg.st	geselleschaft	gesèlleschaft
vro	ADJD.Pos	vrô	vrô
unde	KON	unde	unte
sere	AVD	sêre	sêre
vröudehaft	ADJD.Pos	vröuwedehaft	vröuwedenhaft
gehütet	VVPP	gehüetet	hüèten
uf	APPR	ûf	ûf
daz	DDART.Neut.Akk.Sg.*	daz	dër
grüene	ADJA.Pos.Neut.Akk.Sg.wk	grüene	grüène
gras	NA.Neut.Akk.Sg.st	gras	gras
,	$_	,	,
als	KO*	als	allsô
iegeliches	DIS.Masc.Gen.Sg.st	iegelîches	iègelich
wille	NA.Masc.Nom.Sg.*	wille	wille
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
da	PAVD	dâ	dâr
nach	PAVAP	nâch	nâh
als	KO*	als	allsô
iegeliches	DIS.Masc.Gen.Sg.st	iegelîches	iègelich
ger	NA.Fem.Nom.Sg.*	ger	gëre
ze	APPR	ze	ze
vröuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
stuont	VVFIN.Ind.Past.Sg.3	stuont	stân
,	$_	,	,
da	PAVD	dâ	dâr
nach	PAVAP	nâch	nâh
lag	VVFIN.Ind.Past.Sg.3	lac	ligen
er	PPER.Masc.Nom.Sg.3	er	ër
:	$_	:	:
die	DDART.*.Nom.Pl.*	die	dër
richen	ADJA.Pos.*.Nom.Pl.wk	rîchen	rîche
lagen	VVFIN.Ind.Past.Pl.3	lâgen	ligen
riche	ADJA.Pos.*.Nom.Pl.st	rîche	rîche
,	$_	,	,
die	DDART.*.Nom.Pl.*	die	dër
höfschen	ADJA.Pos.*.Nom.Pl.wk	hövischen	hövisch
hoveliche	AVD	hovelîche	hovelîche
;	$_	;	;
dise	DDS.*.Nom.Pl.*	dise	dise
lagen	VVFIN.Ind.Past.Pl.3	lâgen	ligen
under	APPR	under	unter
siden	NA.Fem.Dat.Pl.*	sîten	sîte
da	AVD	dâ	dâr
,	$_	,	,
jene	DDS.*.Nom.Pl.st	jene	jèner
under	APPR	under	unter
bluomen	NA.Fem,Masc.Dat.Pl.*	bluomen	bluome
anderswa	AVD	anderswâ	andereswâr
;	$_	;	;
diu	DDART.Fem.Nom.Sg.*	diu	dër
linde	NA.Fem.Nom.Sg.*	linde	linte
was	VAFIN.Ind.Past.Sg.3	was	wësen
genuoger	ADJA.Pos.Masc.Nom.Sg.st	genuoger	genuoge
dach	NA.Masc.Nom.Sg.st	tac	tag
;	$_	;	;
genuoge	ADJA.Pos.*.Akk.Pl.st	genuoge	genuoge
man	PI.*.Nom.Sg.st	man	man
gehütet	VVPP	gehüetet	hüèten
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
mit	APPR	mit	mit
loupgrüenen	ADJA.Pos.*.Dat.Pl.*	loupgrüenen	lobegrüène
esten	NA.Masc.Dat.Pl.st	esten	ast
.	$_	.	.
	
von	APPR	von	von
gesinde	NA.Neut.Dat.Sg.st	gesinde	gesinde
noch	KON	noch	noh
von	APPR	von	von
gesten	NA.Masc.Dat.Pl.st	gesten	gast
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
geherberget	VVPP	geherberget	hèrebërgen
nie	AVD	nie	niè
so	AVD	sô	sô
wunneclichen	AVD	wünniclîchen	wünniglîche
alse	KO*	alse	allsô
hie	AVD	hier	hièr
.	$_	.	.
	
ouch	KO*	ouch	ouch
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
man	PI.*.Nom.Sg.st	man	man
da	AVD	dâ	dâr
rat	NA.Masc.Akk.Sg.st	rât	rât
über	APPR	über	über
rat	NA.Masc.Akk.Sg.st	rât	rât
,	$_	,	,
als	KO*	als	allsô
man	PI.*.Nom.Sg.st	man	man
ze	APPR	ze	ze
hohgeziten	NA.Fem,Neut.Dat.Pl.st	hôchgezîten	hôhgezît
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
,	$_	,	,
an	APPR	an	ane
spise	NA.Fem.Dat.Sg.st	spîse	spîse
und	KON	und	unte
edeler	ADJA.Pos.Fem.Dat.Sg.st	edeler	èdele
waete	NA.Fem.Dat.Sg.st	wæte	wât
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
iegelicher	DIS.Masc.Nom.Sg.st	iegelîcher	iègelich
haete	VAFIN.*.Past.Sg.3	hæte	haben
ze	APPR	ze	ze
wunsche	NA.Masc.Dat.Sg.st	wunsche	wunsch
sich	PRF.Akk.*.*	sich	sich
gewarnet	VVPP	gewarnet	warnen
dar	AVD	dar	dâr
.	$_	.	.
	
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
so	AVD	sô	sô
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
ir	PPER.*.Gen.Pl.3	ir	ër
marke	NE.Nom.Sg	Marke	Marke
war	NA.Fem.Akk.Sg.st	war	ware
so	AVD	sô	sô
groze	AVD	grôze	grôze
und	KON	und	unte
also	AVD	alsô	allsô
riche	ADJD.Pos	rîche	rîche
,	$_	,	,
daz	KOUS	daz	dazz
salle	NA.Masc.Nom.Pl.st	salle	sall
riliche	AVD	rîchelîche	rîchelîche
lebeten	VVFIN.*.Past.Pl.3	lebeten	lëben
unde	KON	unde	unte
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
vro	ADJD.Pos	vrô	vrô
.	$_	.	.
	
sus	AVD	sus	sus
huob	VVFIN.Ind.Past.Sg.3	huop	hèben
diu	DDART.Fem.Nom.Sg.*	diu	dër
hohgezit	NA.Fem.Nom.Sg.st	hôchgezît	hôhgezît
sich	PRF.Akk.*.*	sich	sich
do	AVD	dô	dô
;	$_	;	;
und	KON	und	unte
swes	PG.Neut.Gen.Sg.st	swes	swër
der	DDS.Masc.Nom.Sg.*	der	dër
gerne	AVD	gerne	gërne
sehende	VVPS	sehente	sëhen
man	PI.*.Nom.Sg.st	man	man
ze	APPR	ze	ze
sehene	NA.Neut.Dat.Sg.st	sehene	sëhen
guoten	ADJA.Pos.Masc.Akk.Sg.*	guoten	guot
muot	NA.Masc.Akk.Sg.st	muot	muot
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
lie	VVFIN.Ind.Past.Sg.3	lie	lâzen
diu	DDART.Fem.Nom.Sg.*	diu	dër
state	NA.Fem.Nom.Sg.*	state	state
da	AVD	dâ	dâr
wol	AVD	wole	wole
geschehen	VVINF	geschehen	geschëhen
;	$_	;	;
man	PI.*.Nom.Sg.st	man	man
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
da	AVD	dâ	dâr
,	$_	,	,
swaz	PG.Neut.Akk.Sg.st	swaz	swër
man	PI.*.Nom.Sg.st	man	man
wolte	VMFIN.*.Past.Sg.3	wolte	wèllen
sehen	VVINF	sehen	sëhen
:	$_	:	:
dise	DDS.*.Nom.Pl.*	dise	dise
vuoren	VVFIN.*.Past.Pl.3	vuoren	varen
sehen	VVINF	sehen	sëhen
vrouwen	NA.Fem.Nom.Pl.st	vrouwen	vrouwe
,	$_	,	,
jene	DDA.*.Nom.Pl.st	jene	jèner
ander	DIA	ander	ander
tanzen	NA.Fem.Dat.Sg.st	tanzen	tanze
schouwen	VVINF	schouwen	schouwen
;	$_	;	;
dise	DDS.*.Nom.Pl.*	dise	dise
sahen	VVFIN.Ind.Past.Pl.3	sâhen	sëhen
buhurdieren	VVINF	bûhurdieren	bûhurdièren
,	$_	,	,
jene	DDA.*.Nom.Pl.st	jene	jèner
ander	DIA	ander	ander
justieren	NA.Fem.Dat.Sg.st	justieren	tjostière
.	$_	.	.
	
swa	PAVG	swâ	swâr
zuo	PAVAP	zuo	zuo
den	DDART.Masc.Akk.Sg.*	den	dër
man	NA.Masc.Akk.Sg.st	man	mann
sin	DPOSA	sîn	sîn
wille	NA.Masc.Nom.Sg.*	wille	wille
truoc	VVFIN.Ind.Past.Sg.3	truoc	tragen
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
alles	DIN.Neut.Gen.Sg.st	alles	all
vander	VVFIN.Ind.Past.Sg.3|PPER.Masc.Nom.Sg.3	vant|er	vinden|ër
da	AVD	dâ	dâr
genuoc	NA.Neut.Akk.Sg.st	genuoc	genuoge
.	$_	.	.
	
wan	KO*	wan	wante
alle	DIA.*.Nom.Pl.st	alle	all
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
da	AVD	dâ	dâr
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
,	$_	,	,
von	APPR	von	von
vröudebaeren	ADJA.Pos.*.Dat.Pl.*	vröuwedenbæren	vröuwedenbære
jaren	NA.Neut.Dat.Pl.st	jâren	jâr
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
vlizzen	VVFIN.*.Past.Pl.3	vlizzen	vlîzen
sich	PRF.Akk.*.*	sich	sich
inwiderstrit	APPR|NA.Masc.Dat.Sg.st	in|widerstrîte	in|widerstrît
ze	APPR	ze	ze
vröuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
hohgezit	NA.Fem.Dat.Sg.st	hôchgezît	hôhgezît
.	$_	.	.
	
und	KON	und	unte
marke	NE.Nom.Sg	Marke	Marke
der	DDART.Masc.Nom.Sg.*	der	dër
guote	ADJA.Pos.Masc.Nom.Sg.wk	guote	guot
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
höfsche	ADJA.Pos.Masc.Nom.Sg.wk	hövische	hövisch
hohgemuote	ADJA.Pos.Masc.Nom.Sg.wk	hôchgemuote	hôhgemuot
ane	APPR	âne	âne
ander	APPR|DDART.Fem.Gen.Sg.*	an|der	ane|dër
vrouwen	NA.Fem.Gen.Sg.st	vrouwen	vrouwe
schonheit	NA.Fem.Akk.Sg.st	schoenheit	schoènhèit
,	$_	,	,
dier	DRELS.Fem.Akk.Sg|PPER.Masc.Nom.Sg.3	di|er	dër|ër
haete	VAFIN.*.Past.Sg.3	hæte	haben
an	APPR	an	ane
sinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
rinc	NA.Masc.Akk.Sg.st	rinc	ring
geleit	VVPP	geleit	lègen
,	$_	,	,
so	AVD	sô	sô
haeter	VAFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	hæte|er	haben|ër
doch	AVD	doch	doh
besunder	AVD	besunder	besunter
ein	DIART.Neut.Akk.Sg.*	ein	èin
sunderlichez	ADJA.Pos.Neut.Akk.Sg.st	sunderlîchez	sunterlich
wunder	NA.Neut.Akk.Sg.st	wunder	wunter
,	$_	,	,
blanscheflur	NE.Akk.Sg	Blanscheflûr	Blanscheflûr
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
swester	NA.Fem.Akk.Sg.st	swester	swëster
da	AVD	dâ	dâr
:	$_	:	:
ein	DIART	ein	èin
maget	NA.Fem.Akk.Sg.st	maget	maged
,	$_	,	,
daz	KOUS	daz	dazz
da	AVD	dâ	dâr
noch	AVD	noch	noh
anderswa	AVD	anderswâ	andereswâr
schoener	ADJA.Pos	schoener	schoène
wip	NA.Neut.Nom.Sg.st	wîp	wîb
nie	AVD	nie	niè
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
gesehen	VVPP	gesehen	sëhen
.	$_	.	.
	
wir	PPER.*.Nom.Pl.1	wir	wir
hoeren	VVFIN.*.Pres.Pl.1	hoeren	hoèren
von	APPR	von	von
ir	DPOSA	ire	ire
schoene	NA.Fem.Dat.Sg.st	schoene	schoène
jehen	VVINF	jehen	jëhen
,	$_	,	,
sin	PPER.Masc.Gen.Sg.3	sîn	ër
gesaehe	VVFIN.Subj.Pres.Sg.3	gesehe	gesëhen
nie	AVD	nie	niè
kein	DIA.Masc.Nom.Sg.*	kein	kèin
lebende	ADJA.Pos.Masc.Nom.Sg.wk	lebente	lëben
man	NA.Masc.Nom.Sg.st	man	mann
mit	APPR	mit	mit
inneclichen	ADJA.Pos.*.Dat.Pl.*	inniclîchen	inniglich
ougen	NA.Neut.Dat.Pl.wk	ougen	ouge
an	PTKVZ	an	ane
,	$_	,	,
ern	PPER.Masc.Nom.Sg.3|PTKNEG	er|ne	ër|ne
minnete	VVFIN.*.Past.Sg.3	minnete	minnen
da	PAVD	dâ	dâr
nach	PAVAP	nâch	nâh
iemer	AVD	iemer	ièmer
me	AVD.Comp	mêr	mêre
wip	NA.Neut.Akk.Sg.st	wîp	wîb
und	KON	und	unte
tugende	NA.Fem.Akk.Pl.st	tugende	tugende
baz	AVD.Comp	baz	bazz
dan	KOKOM	danne	danne
e.	KOUS	êr	êr
diu	DDART.Fem.Nom.Sg.*	diu	dër
saelige	ADJA.Pos.Fem.Nom.Sg.wk	sælige	sælig
ougenweide	NA.Fem.Nom.Sg.*	ougenweide	ougenwèide
diu	DDS.Fem.Nom.Sg.*	diu	dër
machete	VVFIN.*.Past.Sg.3	machete	machen
uf	APPR	ûf	ûf
der	DDART.Fem.Dat.Sg.*	der	dër
heide	NA.Fem.Dat.Sg.st	heide	hèide
vil	AVD	vile	vile
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
man	NA.Masc.Akk.Sg.st	man	mann
vrech	ADJD.Pos	vrech	vrëch
unde	KON	unde	unte
vruot	ADJN.Masc.Akk.Sg.*	vruot	vruot
,	$_	,	,
manc	DIA.Neut.Akk.Sg.*	manig	manig
edele	ADJA.Pos.Neut.Akk.Sg.wk	edele	èdele
herze	NA.Neut.Akk.Sg.wk	herze	hërze
hohgemuot	ADJN.Neut.Akk.Sg.*	hôchgemuot	hôhgemuot
.	$_	.	.
	
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
was	VAFIN.Ind.Past.Sg.3	was	wësen
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
ouwe	NA.Fem.Dat.Sg.st	ouwe	ouwe
manc	DIA.Fem.Nom.Sg.*	manic	manig
ander	DIA.Fem.Nom.Sg.*	ander	ander
schoeniu	ADJA.Pos.Fem.Nom.Sg.st	schoeniu	schoène
vrouwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
,	$_	,	,
der	DDS.*.Gen.Pl.*	der	dër
iegelichiu	DIS.Fem.Nom.Sg.st	iegelîchiu	iègelich
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
sin	VAINF	sîn	sîn
von	APPR	von	von
schoene	NA.Fem.Dat.Sg.st	schoene	schoène
ein	DIART.Fem.Nom.Sg.*	ein	èin
richiu	ADJA.Pos.Fem.Nom.Sg.st	rîchiu	rîche
künigin	NA.Fem.Nom.Sg.*	küninginne	küninginne
,	$_	,	,
die	DDART.Fem.Akk.Sg.*	die	dër
muot	NA.Masc,Neut.Akk.Sg.st	muot	muot
und	KON	und	unte
vröude	NA.Fem.Akk.Sg.st	vröuwede	vröuwede
ouch	AVD	ouch	ouch
baren	VVFIN.*.Past.Pl.3	bâren	bëren
den	DDS.*.Dat.Pl.*	den	dër
allen	DIS.*.Dat.Pl.st	allen	all
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
da	AVD	dâ	dâr
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
,	$_	,	,
und	KON	und	unte
macheten	VVFIN.*.Past.Pl.3	macheten	machen
manic	DIA.Neut.Akk.Sg.*	manic	manig
herze	NA.Neut.Akk.Sg.wk	herze	hërze
vro	ADJD.Pos	vrô	vrô
.	$_	.	.
	
hie	PAVD	hier	hièr
mite	PAVAP	mite	mite
huob	VVFIN.Ind.Past.Sg.3	huop	hèben
sich	PRF.Akk.*.*	sich	sich
der	DDART.Masc.Nom.Sg.*	der	dër
buhurt	NA.Masc.Nom.Sg.st	bûhurt	bûhurt
do	AVD	dô	dô
von	APPR	von	von
gesinde	NA.Neut.Dat.Sg.st	gesinde	gesinde
und	KON	und	unte
ouch	AVD	ouch	ouch
von	APPR	von	von
gesten	NA.Masc.Dat.Pl.st	gesten	gast
:	$_	:	:
die	DDART.Masc.Nom.Pl.*	die	dër
werdesten	ADJA.Pos.*.Nom.Pl.wk	werdesten	wërd
,	$_	,	,
und	KON	und	unte
die	DDART.Masc.Nom.Pl.*	die	dër
besten	ADJA.Sup.*.Nom.Pl.wk	bezzisten	bèzzist
die	DDS.Masc.Nom.Pl.*	die	dër
riten	VVFIN.*.Past.Pl.3	riten	rîten
da	PAVD	dâ	dâr
zuo	PAVAP	zuo	zuo
wa	AVW	wâ	wâr
unde	KON	unde	unte
wa	AVW	wâ	wâr
.	$_	.	.
	
ouch	KO*	ouch	ouch
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
werde	ADJA.Pos.Masc.Nom.Sg.wk	werde	wërd
marke	NE.Nom.Sg	Marke	Marke
da	AVD	dâ	dâr
und	KON	und	unte
sin	DPOSA	sîn	sîn
geselle	NA.Masc.Nom.Sg.wk	geselle	gesèlle
riwalin	NE.Nom.Sg	Riwalîn	Riwalîn
ane	APPR	âne	âne
ander	DIA	ander	ander
ingesinde	NA.Neut.Akk.Sg.st	ingesinde	ingesinde
sin	DPOSN	sîn	sîn
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
sich	PRF.Akk.*.*	sich	sich
ouch	AVD	ouch	ouch
gevlizzen	VVPP	gevlizzen	vlîzen
haeten	VAFIN.*.Past.Pl.3	hæten	haben
,	$_	,	,
wie	AVW	wie	wiè
siz	PPER.Masc.Nom.Pl.3|PPER.Neut.Akk.Sg.3	si|ez	ër|ër
da	AVD	dâ	dâr
so	AVD	sô	sô
getaeten	VVFIN.Subj.Past.Pl.3	getæten	getuon
,	$_	,	,
daz	KOUS	daz	dazz
ez	PPER.Neut.Nom.Sg.3	ez	ër
da	AVD	dâ	dâr
sagebaere	ADJD.Pos	sagebære	sagebære
und	KON	und	unte
wol	AVD	wole	wole
ze	APPR	ze	ze
lobene	NA.Neut.Dat.Sg.wk	lobene	loben
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
da	AVD	dâ	dâr
zuo	APPR	zuo	ze
dem	DDART.Neut.Dat.Sg.*	dem	dër
male	NA.Neut.Dat.Sg.st	mâle	mâl
von	APPR	von	von
pfelle	NA.Masc.Dat.Sg.*	pfelle	pfèlle
und	KON	und	unte
von	APPR	von	von
zendale	NA.Masc.Dat.Sg.st	zindâle	zindâl
manc	DIA.Neut.Akk.Sg.*	manig	manig
ors	NA.Neut.Akk.Sg.st	ors	ors
bedact	ADJN.Neut.Akk.Sg.*	bedakt	bedècken
ze	APPR	ze	ze
vlize	NA.Masc.Dat.Sg.st	vlîze	vlîz
,	$_	,	,
mange	DIA.Fem.Akk.Sg.st	manige	manig
decke	NA.Fem.Akk.Sg.st	decke	dècke
snewize	ADJN	snêwîze	snêwîz
,	$_	,	,
gel	ADJD.Pos	gel	gëlw
,	$_	,	,
brun	ADJN	brûn	brûn
,	$_	,	,
rot	ADJD.Pos	rôt	rôt
,	$_	,	,
grüen	ADJA.Pos.Masc.Akk.Sg.*	grûwen	grüène
unde	KON	unde	unte
bla	ADJN	blâ	blâw
;	$_	;	;
so	AVD	sô	sô
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
man	PI.*.Nom.Sg.st	man	man
ander	DIS.Neut.Akk.Sg.*	ander	ander
anderswa	AVD	anderswâ	andereswâr
von	APPR	von	von
edeler	ADJA.Pos.Fem.Dat.Sg.st	edeler	èdele
siden	NA.Fem.Dat.Sg.st	sîden	sîde
wol	AVD	wole	wole
gebriten	VVINF	gebreiten	gebrîten
,	$_	,	,
jene	DDA.Fem.Akk.Sg.st	jene	jèner
ander	DIA	ander	ander
manege	DIA.Fem.Akk.Sg.st	manige	manig
wis	NA.Fem.Akk.Sg.st	wîs	wîse
zesniten	APPR|NA.Neut.Dat.Sg.st	ze|snîdenne	ze|snîden
,	$_	,	,
gevehet	VVPP	gevêhet	vêhen
und	KON	und	unte
geparrieret	VVPP	geparrieret	parrièren
,	$_	,	,
sus	AVD	sus	sus
und	KON	und	unte
so	AVD	sô	sô
gefeitieret	VVPP	gefeitieret	fèitièren
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
ritterschaft	NA.Fem.Nom.Sg.st	ritterschaft	rîtæreschaft
diu	DDS.Fem.Nom.Sg.*	diu	dër
vuorte	VVFIN.*.Past.Sg.3	vuorte	vüèren
cleit	NA.Neut.Akk.Pl.st	kleit	klèid
mit	APPR	mit	mit
wunderlicher	ADJA.Pos.Fem.Dat.Sg.st	wunderlîcher	wunterlich
richeit	NA.Fem.Dat.Sg.st	rîchheit	rîchhèit
zersniten	VVPP	zersniten	zersnîden
und	KON	und	unte
zerhouwen	VVPP	zerhouwen	zerhouwen
.	$_	.	.
	
ouch	KO*	ouch	ouch
lie	VVFIN.Ind.Past.Sg.3	lie	lâzen
der	DDART.Masc.Nom.Sg.*	der	dër
sumer	NA.Masc.Nom.Sg.st	sumer	sumer
wol	AVD	wole	wole
schouwen	VVINF	schouwen	schouwen
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
da	AVD	dâ	dâr
mit	APPR	mit	mit
marke	NE.Dat.Sg	Marke	Marke
