ir	PPER.*.Nom.Pl.2	ir	ir
mir	PPER.*.Dat.Sg.1	mir	ich
diz	DDA.Neut.Akk.Sg.*	diz	dise
rehte	NA.Neut.Akk.Sg.st	rehte	rëht
und	KON	und	unte
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
,	$_	,	,
daz	KOUS	daz	dazz
ichs	PPER.*.Nom.Sg.1|PPER.Neut.Akk.Sg.3	ich|ez	ich|ër
gedehte	VVFIN.Subj.Past.Sg.1	gedæhte	gedènken
unde	KON	unde	unte
ez	PPER.Neut.Akk.Sg.3	ez	ër
wol	AVD	wole	wole
vernâme	VVFIN.Subj.Past.Sg.1	vernæme	vernëmen
,	$_	,	,
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
immer	AVD	iemer	ièmer
dare	AVD	dare	dare
quâme	VVFIN.Subj.Past.Sg.1	quæme	komen
,	$_	,	,
da	AVD	dâ	dâr
ich	PPER.*.Nom.Sg.1	ich	ich
mîne	DPOSA.Fem.Akk.Pl.st	mîne	mîn
schuzeln	NA.Fem.Akk.Pl.st	schüzzeln	schüzzele
âze	VVFIN.Subj.Past.Sg.1	æze	ëzzen
,	$_	,	,
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
des	DDS.Neut.Gen.Sg.*	des	dër
niht	PTKNEG	niht	niht
vergâze	VVFIN.Subj.Past.Sg.1	vergæze	vergëzzen
,	$_	,	,
daz	KOUS	daz	dazz
wir	PPER.*.Nom.Pl.1	wir	wir
dâ	AVD	dâ	dâr
blîben	VVINF	belîben	belîben
solden	VMFIN.*.Past.Pl.1	solten	solen
.	$_	.	.
	
nû	AVD	nû	nû
sîn	VAFIN.*.Pres.Pl.1	sîn	sîn
wir	PPER.*.Nom.Pl.1	wir	wir
dâ	AVD	dâ	dâr
wir	PPER.*.Nom.Pl.1	wir	wir
wolden	VMFIN.*.Past.Pl.1	wolten	wèllen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
ez	PPER.Neut.Akk.Sg.3	ez	ër
rehte	AVD	rehte	rëhte
vernomen	VVPP	vernomen	vernëmen
,	$_	,	,
wir	PPER.*.Nom.Pl.1	wir	wir
sîn	VAFIN.*.Pres.Pl.1	sîn	sîn
in	APPR	in	in
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
komen	VVPP	komen	komen
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
wir	PPER.*.Nom.Pl.1	wir	wir
lange	AVD	lange	lange
haben	VAFIN.*.Pres.Pl.1	haben	haben
gegert	VVPP	gegert	gëren
.	$_	.	.
	
die	DDART.*.Nom.Pl.*	die	dër
gote	NA.Masc.Nom.Pl.st	gote	got
habent	VAFIN.Ind.Pres.Pl.3	habent	haben
uns	PPER.*.Dat.Pl.1	uns	wir
des	DDS.Neut.Gen.Sg.*	des	dër
gewert	VVPP	gewert	gewëren
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
wir	PPER.*.Nom.Pl.1	wir	wir
si	PPER.Masc.Akk.Pl.3	si	ër
lange	AVD	lange	lange
bâten	VVFIN.Ind.Past.Pl.1	bâten	biten
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
scholen	VVFIN.*.Pres.Pl.3	scholen	scholen
uns	PPER.*.Akk.Pl.1	uns	wir
noch	AVD	noch	noh
berâten.>	AVD	berâten	berâten
dô	KOUS	dô	dô
her	PPER.Masc.Nom.Sg.3	her	ër
geredete	VVFIN.*.Past.Sg.3	geredete	gerèden
alsô	AVD	alsô	allsô
,	$_	,	,
dô	AVD	dô	dô
wordens	VAFIN.Subj.Past.Sg.3|PPER.Neut.Gen.Sg.3	würde|es	wërden|ër
alle	DIS.*.Nom.Pl.st	alle	all
vile	AVD	vile	vile
frô	ADJD.Pos	vrô	vrô
.	$_	.	.
	
ir	DPOSA	ire	ire
leides	NA.Neut.Gen.Sg.st	leides	lèid
sie	PPER.*.Nom.Pl.3	sie	ër
vergâzen	VVFIN.Ind.Past.Pl.3	vergâzen	vergëzzen
,	$_	,	,
niht	PTKNEG	niht	niht
langer	AVD	langer	lange
sie	PPER.*.Nom.Pl.3	sie	ër
ne	PTKNEG	ne	ne
sâzen	VVFIN.Ind.Past.Pl.3	sâzen	sitzen
,	$_	,	,
schiere	AVD	schiere	schière
sie	PPER.*.Nom.Pl.3	sie	ër
ûf	PTKVZ	ûf	ûf
sprungen	VVFIN.*.Past.Pl.3	sprungen	springen
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
spilden	VVFIN.*.Past.Pl.3	spielten	spalten
unde	KON	unde	unte
rungen	VVFIN.*.Past.Pl.3	rungen	ringen
und	KON	und	unte
opherden	VVFIN.*.Past.Pl.3	opferten	opferen
ir	DPOSA	ire	ire
abgoten	NA.Masc,Neut.Dat.Pl.st	apgoten	abgot
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
in	PPER.*.Dat.Pl.3	in	ër
allen	DID.*.Dat.Pl.st	allen	all
geboten	VVPP	geboten	gebièten
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
alsô	AVD	alsô	allsô
tâten	VVFIN.Ind.Past.Pl.3	tâten	tuon
und	KON	und	unte
die	DDART.*.Nom.Pl.*	die	dër
gote	NA.Masc.Akk.Pl.st	gote	got
bâten	VVFIN.Ind.Past.Pl.3	bâten	biten
,	$_	,	,
daz	KOUS	daz	dazz
sis	PPER.*.Nom.Pl.3|PPER.Neut.Gen.Sg.3	si|es	ër|ër
mûsten	VMFIN.*.Past.Pl.3	muosten	müèzen
gewalden	VVINF	gewalten	gewalten
unde	KON	unde	unte
in	PPER.*.Dat.Pl.3	in	ër
hulfen	VVFIN.*.Past.Pl.3	hulfen	hëlfen
behalden	VVINF	behalten	behalten
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
dâ	PAVD	dâ	dâr
si	PPER.*.Nom.Pl.3	si	ër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
an	PAVAP	an	ane
.	$_	.	.
	
diu	DDART.Neut.Akk.Pl.*	diu	dër
schif	NA.Neut.Akk.Pl.st	schif	schiff
fûrden	VVFIN.*.Past.Pl.3	vuorten	vüèren
sie	PPER.*.Nom.Pl.3	sie	ër
dan	AVD	danne	danne
in	APPR	in	in
die	DDART.Fem.Akk.Sg.*	die	dër
tiber	NA.Fem.Akk.Sg.st	tieber	tiure
ûz	APPR	ûz	ûz
dem	DDART.Neut.Dat.Sg.*	dem	dër
mere	NA.Neut.Dat.Sg.st	mere	mère
.	$_	.	.
	
dô	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
und	KON	und	unte
sîn	DPOSA.Neut.Nom.Sg.*	sîn	sîn
here	NA.Neut.Nom.Sg.st	here	hère
frôlîches	ADJA.Pos.Masc,Neut.Gen.Sg.st	vroelîches	vroèlich
mûtes	NA.Masc,Neut.Gen.Sg.st	muotes	muot
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
froweten	VVFIN.*.Past.Pl.3	vröuweten	vröuwen
sich	PRF.Akk.*.*	sich	sich
des	DDART.Neut.Gen.Sg.*	des	dër
gûtes	NA.Neut.Gen.Sg.st	guotes	guot
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
si	PPER.*.Nom.Pl.3	si	ër
wânden	VVFIN.*.Past.Pl.3	wânten	wænen
haben	VAINF	haben	haben
dâ	AVD	dâ	dâr
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
dannoch	AVD	dannoch	dannoh
vil	AVD	vile	vile
unnâ	ADJD.Pos	unnâh	unnâh
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
wânden	VVFIN.*.Past.Pl.3	wânten	wænen
schaffen	VVINF	schaffen	schaffen
ir	DPOSA	ire	ire
gemach	NA.Neut.Akk.Sg.st	gemach	gemach
,	$_	,	,
daz	DRELS.Neut.Akk.Sg	daz	dër
man	PI.*.Nom.Sg.st	man	man
dâ	AVD	dâ	dâr
harde	AVD	harte	harte
widersprach	VVFIN.Ind.Past.Sg.3	widersprach	widersprëchen
.	$_	.	.
	
daz	DDART.Neut.Nom.Sg.*	daz	dër
gemach	NA.Neut.Nom.Sg.st	gemach	gemach
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
in	PPER.*.Dat.Pl.3	in	ër
vil	AVD	vile	vile
ungereit	ADJD.Pos	ungereit	ungerèite
,	$_	,	,
ê	AVD	êr	êr
danne	KO*	danne	danne
si	PPER.*.Nom.Pl.3	si	ër
michel	ADJA.Pos	michel	michel
arbeit	NA.Fem,Neut.Akk.Sg.st	arbeit	arbèit
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
heten	VAFIN.*.Past.Pl.3	hæten	haben
erliden	VVPP	erliten	erlîden
,	$_	,	,
wande	KO*	wande	wante
si	PPER.*.Nom.Pl.3	si	ër
vohten	VVFIN.*.Past.Pl.3	vuhten	vëhten
unde	KON	unde	unte
striden	VVFIN.*.Past.Pl.3	striten	strîten
zû	APPR	ze	ze
vil	AVD	vile	vile
manegen	DIA.*.Dat.Pl.st	manigen	manig
stunden	NA.Fem.Dat.Pl.*	stunden	stunte
mit	APPR	mit	mit
den	DRELS.*.Dat.Pl	den	dër
sie	PPER.*.Nom.Pl.3	sie	ër
dâ	AVD	dâ	dâr
vunden	VVFIN.*.Past.Pl.3	vunden	vinden
und	KON	und	unte
dien	DDS.*.Dat.Pl.*	den	dër
daz	DDART.Neut.Nom.Sg.*	daz	dër
lant	NA.Neut.Nom.Sg.st	lant	lant
werden	VAINF	werden	wërden
mit	APPR	mit	mit
schilden	NA.Masc.Dat.Pl.st	schilden	schilt
und	KON	und	unte
mit	APPR	mit	mit
swerden	NA.Fem,Masc.Dat.Pl.*	swerden	swërede
.	$_	.	.
	
dô	KOUS	dô	dô
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
ênêas	NE.Nom.Sg	Eneas	Eneas
alsô	AVD	alsô	allsô
dare	AVD	dare	dare
komen	VVPP	komen	komen
was	VAFIN.Ind.Past.Sg.3	was	wësen
ze	APPR	ze	ze
itâljen	NE.Dat.Sg	Italien	Italien
in	APPR	in	in
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
,	$_	,	,
dô	AVD	dô	dô
frâgete	VVFIN.*.Past.Sg.3	vrâgete	vrâgen
her	PPER.Masc.Nom.Sg.3	her	ër
die	DRELS.Fem.Akk.Sg	die	dër
her	PPER.Masc.Nom.Sg.3	her	ër
dâ	AVD	dâ	dâr
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
mâre	ADJN.Neut.Dat.Sg.*	mære	mêre
und	KON	und	unte
wer	PW.Masc.Nom.Sg.st	wer	wër
dâ	AVD	dâ	dâr
kunich	NA.Masc.Nom.Sg.st	küninc	küning
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
,	$_	,	,
wander	KO*|PPER.Masc.Nom.Sg.3	wande|er	wante|ër
dâ	AVD	dâ	dâr
gerne	AVD	gerne	gërne
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
sîn	VAINF	sîn	sîn
.	$_	.	.
	
dô	AVD	dô	dô
saget	VVFIN.*.Past.Sg.3	sagete	sagen
man	PI.*.Nom.Sg.st	man	man
im	PPER.Masc.Dat.Sg.3	im	ër
,	$_	,	,
daz	DDART.Neut.Akk.Sg.*	daz	dër
latîn	NA.Neut.Akk.Sg.st	latîn	latîn
kunich	NA.Masc.Nom.Sg.st	küninc	küning
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
in	APPR	in	in
deme	DDART.Neut.Dat.Sg.*	deme	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
.	$_	.	.
	
sîne	DPOSA.Masc.Akk.Pl.st	sîne	sîn
boten	NA.Masc.Akk.Pl.wk	boten	bote
her	PPER.Masc.Nom.Sg.3	her	ër
im	PPER.Masc.Dat.Sg.3	im	ër
dô	AVD	dô	dô
sande	VVFIN.*.Past.Sg.3	sante	sènten
,	$_	,	,
driu	CARDA.Neut.Akk.Pl.st	driu	drî
hundert	ADJS.Sup.Neut.Akk.Pl.*	hundert	hundert
ritter	NA.Masc.Gen.Pl.st	ritter	rîtære
gûte	ADJN.*.Akk.Pl.st	guote	guot
mit	APPR	mit	mit
gerendem	ADJA.Pos.Masc,Neut.Dat.Sg.st	gerentem	gëren
mûte	NA.Masc,Neut.Dat.Sg.st	muote	muot
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
dâ	AVD	dâ	dâr
blîben	VVINF	belîben	belîben
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
,	$_	,	,
sô	AVD	sô	sô
wolder	VMFIN.Subj.Past.Sg.3|PPER.Masc.Nom.Sg.3	wolte|er	wèllen|ër
sîne	DPOSA.Masc.Akk.Pl.st	sîne	sîn
holde	ADJA.Pos.Masc.Akk.Pl.st	holde	hold
gerne	AVD	gerne	gërne
gewinnen	VVINF	gewinnen	gewinnen
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
sande	VVFIN.*.Past.Sg.3	sante	sènten
ime	PPER.Masc.Dat.Sg.3	ime	ër
ze	APPR	ze	ze
minnen	NA.Fem.Dat.Pl.*	minnen	minne
eine	DIART.Fem.Akk.Sg.st	eine	èin
gebe	NA.Fem.Akk.Sg.st	gebe	gëbe
vil	AVD	vile	vile
schône	ADJN	schoene	schoène
,	$_	,	,
ein	DIART	ein	èin
sceptrum	FM	-	-
und	KON	und	unte
ein	DIART.Fem.Akk.Sg.*	ein	èin
crône	NA.Fem.Akk.Sg.st	krône	krône
ein	DIART.Masc.Akk.Sg.*	ein	èin
mantel	NA.Masc.Akk.Sg.st	mandel	mantel
und	KON	und	unte
ein	DIART	ein	èin
vingerlîn	NA.Neut.Akk.Sg.st	vingerlîn	vingerlîn
und	KON	und	unte
einen	DIART.Masc.Akk.Sg.st	einen	èin
koph	NA.Masc.Akk.Sg.st	kopf	kopf
goldîn	ADJN.Masc.Akk.Sg.*	goldîn	güldîn
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
des	DDART.Masc.Gen.Sg.*	des	dër
kuneges	NA.Masc.Gen.Sg.st	küninges	küning
menelâî	NE.Gen.Sg	Meneleî	Menelaus
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
den	DDS.Masc.Akk.Sg.*	den	dër
sande	VVFIN.*.Past.Sg.3	sante	sènten
ime	PPER.Masc.Dat.Sg.3	ime	ër
ênêas	NE.Nom.Sg	Eneas	Eneas
,	$_	,	,
wander	KO*|PPER.Masc.Nom.Sg.3	wande|er	wante|ër
mit	APPR	mit	mit
fride	NA.Masc.Dat.Sg.*	vride	vride
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
leben	VVINF	leben	lëben
.	$_	.	.
	
menelâûs	NE.Nom.Sg	Menelaus	Menelaus
het	VAFIN.*.Past.Sg.3	hæte	haben
in	PPER.Masc.Akk.Sg.3	in	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
gegeben	VVPP	gegeben	gëben
,	$_	,	,
dô	KOUS	dô	dô
her	PPER.Masc.Nom.Sg.3	her	ër
ze	APPR	ze	ze
ime	PPER.Masc.Dat.Sg.3	ime	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
gesant	VVPP	gesant	sènten
,	$_	,	,
dô	KOUS	dô	dô
her	PPER.Masc.Nom.Sg.3	her	ër
ze	APPR	ze	ze
troie	NE.Dat.Sg	Trôje	Trôja
an	APPR	an	ane
den	DDART.Masc.Akk.Sg.*	den	dër
sant	NA.Masc.Akk.Sg.st	sant	sant
zallerêriste	PTKA|AVD.Sup	ze|allerêreste	ze|allerêreste
quam	VVFIN.Ind.Past.Sg.3	quam	komen
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
gebe	NA.Fem.Nom.Sg.*	gebe	gëbe
diu	DDS.Fem.Nom.Sg.*	diu	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
lussam	ADJD.Pos	lustsam	lustsam
,	$_	,	,
die	DRELS.Fem.Akk.Sg	die	dër
ênêas	NE.Nom.Sg	Eneas	Eneas
dar	AVD	dar	dâr
sande	VVFIN.*.Past.Sg.3	sante	sènten
deme	DDART.Masc.Dat.Sg.*	deme	dër
kunege	NA.Masc.Dat.Sg.st	küninge	küning
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
,	$_	,	,
wand	KO*	wande	wante
ime	PPER.Masc.Dat.Sg.3	ime	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîner	DPOSA.Fem.Gen.Sg.st	sîner	sîn
holde	NA.Fem.Gen.Sg.st	hulde	hulde
nôt	NA.Fem.Nom.Sg.st	nôt	nôt
.	$_	.	.
	
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
dienest	NA.Masc.Akk.Sg.st	dienest	diènest
her	PPER.Masc.Nom.Sg.3	her	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
enbôt	VVFIN.Ind.Past.Sg.3	entbôt	entbièten
vile	AVD	vile	vile
minnechlîche	AVD	minniclîche	minniglîche
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
hern	PPER.Masc.Nom.Sg.3|PPER.Masc.Akk.Sg.3	her|in	ër|ër
in	APPR	in	in
sîme	DPOSA.Neut.Dat.Sg.st	sîneme	sîn
rîche	NA.Neut.Dat.Sg.st	rîche	rîche
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
lâzen	VVINF	lâzen	lâzen
genesen	VVINF	genesen	genësen
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
im	PPER.Masc.Dat.Sg.3	im	ër
willich	ADJD.Pos	willich	willich
solde	VMFIN.*.Past.Sg.3	solte	solen
wesen	VAINF	wesen	wësen
zallem	APPR|DIA.Neut.Dat.Sg.st	ze|allem	ze|all
sîneme	DPOSA.Neut.Dat.Sg.st	sîneme	sîn
gebote	NA.Neut.Dat.Sg.st	gebote	gebot
.	$_	.	.
	
daz	DDS.Neut.Akk.Sg.*	daz	dër
swûr	VVFIN.Ind.Past.Sg.3	swuor	swèren
her	PPER.Masc.Nom.Sg.3	her	ër
bî	APPR	bî	bî
sînem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
gote	NA.Masc.Dat.Sg.st	gote	got
,	$_	,	,
swaz	PG.Neut.Akk.Sg.st	swaz	swër
sô	PTK	sô	sô
her	PPER.Masc.Nom.Sg.3	her	ër
in	PPER.Masc.Akk.Sg.3	in	ër
hieze	VVFIN.Subj.Past.Sg.3	hieze	hèizen
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
des	DDS.Neut.Gen.Sg.*	des	dër
niht	NA.Neut.Akk.Sg.st	niht	niht
ne	PTKNEG	ne	ne
lieze	VVFIN.Subj.Past.Sg.3	lieze	lâzen
dorch	APPR	durch	durh
deheiner	DIA.Fem.Gen.Sg.st	decheiner	dehèin
slahte	NA.Fem.Gen.Sg.st	slahte	slahte
arbeit	NA.Fem,Neut.Akk.Sg.st	arbeit	arbèit
unde	KON	unde	unte
er	PPER.Masc.Nom.Sg.3	er	ër
sîne	DPOSA.Fem.Akk.Sg.st	sîne	sîn
wârheit	NA.Fem.Akk.Sg.st	wârheit	wârhèit
nimmer	AVD	niemer	nièmer
an	APPR	an	ane
ime	PPER.Masc.Dat.Sg.3	ime	ër
gebrâche	VVFIN.Subj.Past.Sg.3	gebræche	gebrëchen
.	$_	.	.
	
yljônix	NE.Nom.Sg	Ilionix	Iloinix
der	DDART.Masc.Nom.Sg.*	der	dër
gesprâche	ADJA.Pos.Masc.Nom.Sg.wk	gespræche	gespræche
der	DDS.Masc.Nom.Sg.*	der	dër
leite	VVFIN.*.Past.Sg.3	leite	lègen
die	DDART.Fem.Akk.Sg.*	die	dër
geselleschaft	NA.Fem.Akk.Sg.st	geselleschaft	gesèlleschaft
unde	KON	unde	unte
warb	VVFIN.Ind.Past.Sg.3	warp	wërben
die	DDART.Fem.Akk.Sg.*	die	dër
boteschaft	NA.Fem.Akk.Sg.st	boteschaft	boteschaft
.	$_	.	.
	
dô	KOUS	dô	dô
daz	DDS.Neut.Nom.Sg.*	daz	dër
allez	DID.Neut.Nom.Sg.st	allez	all
was	VAFIN.Ind.Past.Sg.3	was	wësen
getân	VVPP	getân	tuon
,	$_	,	,
daz	KOUS	daz	dazz
ênêas	NE.Nom.Sg	Eneas	Eneas
der	DDART.Masc.Nom.Sg.*	der	dër
troiân	NA.Masc.Nom.Sg.st	Trôjân	Trôjân
die	DDART.*.Akk.Pl.*	die	dër
boten	NA.Masc.Akk.Pl.wk	boten	bote
dâ	PAVD	dâ	dâr
hin	PAVAP	hin	hine
sande	VVFIN.*.Past.Sg.3	sante	sènten
,	$_	,	,
dô	AVD	dô	dô
nâmen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
si	PPER.*.Nom.Pl.3	si	ër
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
lande	NA.Neut.Dat.Sg.st	lande	lant
lûte	NA.Masc,Neut.Akk.Pl.st	liute	liut
die	DRELS.*.Akk.Pl	die	dër
si	PPER.Neut.Akk.Pl.3	si	ër
leiten	VVFIN.*.Past.Pl.3	leiten	lègen
.	$_	.	.
	
niht	PTKNEG	niht	niht
langer	AVD	langer	lange
si	PPER.*.Nom.Pl.3	si	ër
ne	PTKNEG	ne	ne
beiten	VVFIN.*.Past.Pl.3	beitten	bèiten
,	$_	,	,
yljônix	NE.Nom.Sg	Ilionix	Iloinix
fûr	VVFIN.Ind.Past.Sg.3	vuor	varen
dô	AVD	dô	dô
dannen	AVD	dannen	dannen
mit	APPR	mit	mit
sînes	DPOSA.Masc.Gen.Sg.st	sînes	sîn
hêren	ADJA.Pos.*.Dat.Pl.*	hêren	hêre
mannen	NA.Masc.Dat.Pl.st	mannen	mann
und	KON	und	unte
mit	APPR	mit	mit
den	DDS.*.Dat.Pl.*	den	dër
die	DRELS.*.Nom.Pl	die	dër
si	PPER.*.Akk.Pl.3	si	ër
wîsten	VVFIN.*.Past.Pl.3	wîsten	wîsen
.	$_	.	.
	
mit	APPR	mit	mit
schatze	NA.Masc.Dat.Sg.st	schatze	schatz
sie	PPER.*.Nom.Pl.3	sie	ër
sich	PRF.Akk.*.*	sich	sich
spîsten	VVFIN.*.Past.Pl.3	spîseten	spîsen
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
die	DDART.*.Nom.Pl.*	die	dër
soumâre	NA.Masc.Nom.Pl.st	soumære	soumære
trûgen	VVFIN.*.Past.Pl.3	truogen	tragen
.	$_	.	.
	
sie	PPER.*.Nom.Pl.3	sie	ër
funden	VVFIN.*.Past.Pl.3	vunden	vinden
kouf	NA.Masc.Akk.Sg.st	kouf	kouf
genûgen	VVINF	genüegen	genüègen
uber	APPR	über	über
allez	DIA.Neut.Akk.Sg.st	allez	all
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
.	$_	.	.
	
hêrlîch	ADJD.Pos	hêrlich	hêrlich
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	DPOSA.Neut.Nom.Sg.*	ire	ire
gewant	NA.Neut.Nom.Sg.st	gewant	gewant
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
si	PPER.*.Nom.Pl.3	si	ër
gnûch	AVD	genuoc	genuoge
mit	APPR	mit	mit
in	PPER.*.Dat.Pl.3	in	ër
nâmen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
.	$_	.	.
	
zû	APPR	ze	ze
laurente	NE.Dat.Sg	Laurente	Laurent
sie	PPER.*.Nom.Pl.3	sie	ër
quâmen	VVFIN.Ind.Past.Pl.3	quâmen	komen
,	$_	,	,
dar	AVD	dar	dâr
si	PPER.*.Nom.Pl.3	si	ër
doch	AVD	doch	doh
gerne	AVD	gerne	gërne
wolden	VMFIN.*.Past.Pl.3	wolten	wèllen
sîn	VAINF	sîn	sîn
.	$_	.	.
	
dâ	AVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
kunich	NA.Masc.Nom.Sg.st	küninc	küning
latîn	NE.Nom.Sg	Latîn	Latîn
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
si	PPER.Fem.Akk.Sg.3	si	ër
vile	AVD	vile	vile
wol	AVD	wole	wole
enphienk	VVFIN.Ind.Past.Sg.3	entvienc	entvâhen
.	$_	.	.
	
yljônix	NE.Nom.Sg	Ilionix	Iloinix
dar	PAVD	dâr	dâr
vore	PAVAP	vore	vore
gienk	VVFIN.Ind.Past.Sg.3	gienc	gân
unde	KON	unde	unte
ein	DIART.Masc.Nom.Sg.*	ein	èin
jungelink	NA.Masc.Nom.Sg.st	jungelinc	jungeling
sîn	DPOSA.Masc.Nom.Sg.*	sîn	sîn
neve	NA.Masc.Nom.Sg.wk	neve	nëve
.	$_	.	.
	
dô	KOUS	dô	dô
man	PI.*.Nom.Sg.st	man	man
ênêases	NE.Gen.Sg	Eneases	<unknown>
geve	NA.Fem.Akk.Sg.st	gebe	gëbe
vor	APPR	vore	vore
latînum	NE.Akk.Sg	Latînum	Latînus
den	DDART.Masc.Akk.Sg.*	den	dër
kunich	NA.Masc.Akk.Sg.st	küninc	küning
trûch	VVFIN.Ind.Past.Sg.3	truoc	tragen
,	$_	,	,
si	PPER.Fem.Nom.Sg.3	si	ër
dûhte	VVFIN.*.Past.Sg.3	dûhte	dunken
in	PPER.Masc.Akk.Sg.3	in	ër
lobelîch	ADJD.Pos	lobelich	lobelich
genûch	AVD	genuoc	genuoge
:	$_	:	:
ez	PPER.Neut.Nom.Sg.3	ez	ër
dûhtin	VVFIN.*.Past.Sg.3|PPER.Masc.Akk.Sg.3	dûhte|in	dunken|ër
michel	ADJA.Pos	michel	michel
fruntschaft	NA.Fem.Akk.Sg.st	vriuntschaft	vriuntschaft
.	$_	.	.
	
dô	AVD	dô	dô
worben	VVFIN.*.Past.Pl.3	wurben	wërben
sie	PPER.*.Nom.Pl.3	sie	ër
die	DDART.Fem.Akk.Sg.*	die	dër
boteschaft	NA.Fem.Akk.Sg.st	boteschaft	boteschaft
als	KO*	als	allsô
si	PPER.*.Nom.Pl.3	si	ër
vil	AVD	vile	vile
wol	AVD	wole	wole
kunden	VMFIN.*.Past.Pl.3	kunden	kunnen
.	$_	.	.
	
den	DDART.Masc.Akk.Sg.*	den	dër
kunich	NA.Masc.Akk.Sg.st	küninc	küning
sie	PPER.*.Nom.Pl.3	sie	ër
dô	AVD	dô	dô
funden	VVFIN.*.Past.Pl.3	vunden	vinden
in	PPER.Masc.Akk.Sg.3	in	ër
hogen	VVINF	hoehen	hoèhen
unde	KON	unde	unte
in	APPR	in	in
michelm	ADJA.Pos.Masc,Neut.Dat.Sg.st	michelm	michel
mût	NA.Masc,Neut.Dat.Sg.st	muote	muot
