swer	PG.Masc.Nom.Sg.st	swer	swër
nider	PTKVZ	nider	nidere
und	KON	und	unte
sageten	VVFIN.*.Past.Pl.3	sageten	sagen
zu	APPR	zuo	ze
mere	NA.Fem,Neut.Dat.Sg.st	mære	mære
wie	AVW	wie	wiè
ez	PPER.Neut.Nom.Sg.3	ez	ër
in	PPER.*.Dat.Pl.3	in	ër
kumen	VVPP	kumen	komen
were	VAFIN.Subj.Past.Sg.3	wære	wësen
beide	KON	beide	bèide
sus	AVD	sus	sus
und	KON	und	unte
so	AVD	sô	sô
von	APPR	von	von
herren	NA.Masc.Dat.Sg.*	hêrren	hêrre
priamo	NE.Dat.Sg	Priamô	Priamus
und	KON	und	unte
von	APPR	von	von
enea	NE.Dat.Sg	Eneâ	Eneas
beide	KON	beide	bèide
verre	AVD	verre	vërre
und	KON	und	unte
na	AVD	nâh	nâh
die	DDS.*.Nom.Pl.*	die	dër
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
dort	AVD	dort	dort
hie	AVD	hier	hièr
da	AVD	dâ	dâr
beide	KON	beide	bèide
nein	ITJ	nein	nèin
und	KON	und	unte
ia	PTKANT	jâ	jâ
in	APPR	in	in
dem	DDART.Neut.Dat.Sg.*	dem	dër
her	NA.Neut.Dat.Sg.st	her	hère
uberal	AVD	überal	überall
biz	KOUS	biz	biz
ez	PPER.Neut.Nom.Sg.3	ez	ër
sollen	VMFIN.*.Pres.Pl.3	solen	solen
uz	PTKVZ	ûz	ûz
schal	VVFIN.Ind.Past.Sg.3	schal	schëllen
und	KON	und	unte
sie	PPER.*.Nom.Pl.3	sie	ër
ez	PPER.Neut.Akk.Sg.3	ez	ër
wol	AVD	wole	wole
hetten	VAFIN.*.Past.Pl.3	hetten	haben
vernumen	VVPP	vernomen	vernëmen
wie	AVW	wie	wiè
ez	PPER.Neut.Nom.Sg.3	ez	ër
zu	APPR	zuo	ze
troigen	NE.Dat.Sg	Trôjen	Trôje
was	VAFIN.Ind.Past.Sg.3	was	wësen
kumen	VVPP	kumen	komen
den	DDART.*.Dat.Pl.*	den	dër
boten	NA.Masc.Dat.Pl.wk	boten	bote
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
tisch	NA.Masc.Nom.Sg.st	tisch	tisch
gereit	ADJD.Pos	gereit	gerèite
do	AVD	dô	dô
verclageten	VVFIN.*.Past.Pl.3	verklageten	verklagen
sie	PPER.*.Nom.Pl.3	sie	ër
ir	DPOSA	ire	ire
leit	NA.Neut.Akk.Sg.st	leit	lèid
ie	AVD	ie	iè
baz	AVD.Comp	baz	bazz
und	KON	und	unte
baz	AVD.Comp	baz	bazz
ir	PPER.*.Gen.Pl.3	ir	ër
iegelicher	DIS.Masc.Nom.Sg.st	iegelîcher	iègelich
vurgaz	VVFIN.Ind.Past.Sg.3	vergaz	vergëzzen
durch	APPR	durch	durh
die	DDART.Fem.Akk.Sg.*	die	dër
guten	ADJA.Pos.Fem.Akk.Sg.wk	guoten	guot
spise	NA.Fem.Akk.Sg.st	spîse	spîse
der	DDART.Fem.Gen.Sg.*	der	dër
zornlicher	ADJA.Pos.Fem.Gen.Sg.st	zornlîcher	zornlich
wise	NA.Fem.Gen.Sg.st	wîse	wîse
do	KOUS	dô	dô
diz	DDS.Neut.Nom.Sg.*	diz	dise
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
under	APPR	under	unter
des	DDS.Neut.Gen.Sg.*	des	dër
bereitte	VVFIN.*.Past.Sg.3	bereitte	berèiten
sich	PRF.Akk.*.*	sich	sich
anchilles	NE.Nom.Sg	Anchilles	Achilles
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
kune	ADJA.Pos.Masc.Nom.Sg.wk	küene	küène
theseus	NE.Nom.Sg	Theseus	Theseus
und	KON	und	unte
dar	PAVD	dâr	dâr
zu	PAVAP	zuo	zuo
thelesus	NE.Nom.Sg	Thelesus	Thelesus
dri	CARDA.*.Nom.Pl.st	drî	drî
tusent	ADJS.Pos	tûsent	tûsent
mit	APPR	mit	mit
in	PPER.*.Dat.Pl.3	in	ër
die	DDS.*.Nom.Pl.*	die	dër
folgeten	VVFIN.*.Past.Pl.3	volgeten	volgen
den	DDART.*.Dat.Pl.*	den	dër
drin	CARDS.*.Dat.Pl.st	drîn	drî
zu	APPR	zuo	ze
messin	NE.Dat.Sg	Messîn	Messîn
in	APPR	in	in
ein	DIART	ein	èin
gut	ADJA.Pos	guot	guot
lant	NA.Neut.Akk.Sg.st	lant	lant
dar	AVD	dar	dâr
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
sie	PPER.*.Nom.Pl.3	sie	ër
gesant	VVPP	gesant	sènten
nach	APPR	nâch	nâh
spise	NA.Fem.Dat.Sg.st	spîse	spîse
und	KON	und	unte
nach	APPR	nâch	nâh
gwinne	NA.Masc.Dat.Sg.st	gewinne	gewinn
des	DDS.Neut.Gen.Sg.*	des	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
da	PAVD	dâ	dâr
vil	NA.Neut.Nom.Sg.st	vile	vile
inne	PAVAP	inne	inne
sie	PPER.*.Nom.Pl.3	sie	ër
roubeten	VVFIN.*.Past.Pl.3	roubeten	rouben
und	KON	und	unte
branten	VVFIN.*.Past.Pl.3	branten	brènnen
allez	DIS.Neut.Akk.Sg.st	allez	all
daz	KOUS	daz	dazz
sie	PPER.*.Nom.Pl.3	sie	ër
beranten	VVFIN.*.Past.Pl.3	beranten	berènnen
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
in	APPR	in	in
gluten	NA.Fem.Dat.Pl.st	glüeten	gluot
allez	AVD	allez	allezz
schein	VVFIN.Ind.Past.Sg.3	schein	schînen
theucer	NE.Nom.Sg	Theucer	Theucer
reit	VVFIN.Ind.Past.Sg.3	reit	rîten
in	PPER.*.Dat.Pl.3	in	ër
engein	AVD	engein	engègene
der	DDART.Masc.Nom.Sg.*	der	dër
kunic	NA.Masc.Nom.Sg.st	küninc	küning
von	APPR	von	von
den	DDART.*.Dat.Pl.*	den	dër
landen	NA.Neut.Dat.Pl.st	landen	lant
sin	DPOSA	sîn	sîn
leit	NA.Neut.Akk.Sg.st	leit	lèid
er	PPER.Masc.Nom.Sg.3	er	ër
do	AVD	dô	dô
ande	VVFIN.*.Past.Sg.3	ante	anten
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
crichen	NA.Masc.Dat.Pl.*	Kriechen	Krièche
er	PPER.Masc.Nom.Sg.3	er	ër
do	AVD	dô	dô
streit	VVFIN.Ind.Past.Sg.3	streit	strîten
bizdaz	KOUS	biz_daz	biz_dazz
er	PPER.Masc.Nom.Sg.3	er	ër
si	PPER.*.Akk.Pl.3	si	ër
gar	AVD	gar	gare
uberreit	VVFIN.Ind.Past.Sg.3	überreit	überrîten
er	PPER.Masc.Nom.Sg.3	er	ër
zufurte	VVFIN.*.Past.Sg.3	zuovuorte	zervüèren
ir	DPOSA	ire	ire
schar	NA.Fem.Akk.Sg.st	schar	schare
achilles	NE.Nom.Sg	Achilles	Achilles
der	DDS.Masc.Nom.Sg.*	der	dër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
sin	PPER.Masc.Gen.Sg.3	sîn	ër
war	NA.Fem.Akk.Sg.st	war	ware
und	KON	und	unte
tet	VVFIN.*.Past.Sg.3	tet	tuon
im	PPER.Masc.Dat.Sg.3	im	ër
einen	DIART.Masc.Akk.Sg.st	einen	èin
slac	NA.Masc.Akk.Sg.st	slac	slag
so	AVD	sô	sô
groz	ADJN	grôz	grôz
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
uf	APPR	ûf	ûf
die	DDART.Fem.Akk.Sg.*	die	dër
erden	NA.Fem.Akk.Sg.st	erden	ërde
schoz	VVFIN.Ind.Past.Sg.3	schôz	schièzen
eine	DIART.Fem.Akk.Sg.st	eine	èin
totliche	ADJA.Pos.Fem.Akk.Sg.st	tôtlîche	tôdlich
wunden	NA.Fem.Akk.Sg.st	wunden	wunte
zu	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
selben	DDA.*.Dat.Pl.st	selben	sëlb
stunden	NA.Fem.Dat.Pl.*	stunden	stunte
thelafus	NE.Nom.Sg	Thelafus	Thelafus
uf	APPR	ûf	ûf
der	DDART.Fem.Dat.Sg.*	der	dër
walstat	NA.Fem.Dat.Sg.st	walstat	walestat
anchillen	NE.Akk.Sg	Achillen	Achilles
des	DDS.Neut.Gen.Sg.*	des	dër
bat	VVFIN.Ind.Past.Sg.3	bat	biten
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
thucrum	NE.Akk.Sg	Theukrum	Theucer
lizze	VVFIN.Subj.Past.Sg.3	lieze	lâzen
leben	VVINF	leben	lëben
wen	KO*	wente	wante
er	PPER.Masc.Nom.Sg.3	er	ër
im	PPER.Masc.Dat.Sg.3	im	ër
wilen	AVD	wîlent	wîlent
hetten	VAFIN.*.Past.Pl.3	hetten	haben
gegeben	VVPP	gegeben	gëben
herberge	NA.Fem.Akk.Sg.st	herberge	hèrebërge
in	APPR	in	in
sime	DPOSA.Neut.Dat.Sg.st	sîneme	sîn
lande	NA.Neut.Dat.Sg.st	lande	lant
ich	PPER.*.Nom.Sg.1	ich	ich
hette	VAFIN.*.Past.Sg.1	hette	haben
ez	PPER.Neut.Akk.Sg.3	ez	ër
grozze	ADJA.Pos.Fem.Akk.Sg.st	grôze	grôz
schande	NA.Fem.Akk.Sg.st	schande	schante
sint	KOUS	sint	sint
er	PPER.Masc.Nom.Sg.3	er	ër
mir	PPER.*.Dat.Sg.1	mir	ich
hie	AVD	hier	hièr
ere	NA.Fem.Akk.Sg.st	êre	êre
bot	VVFIN.Ind.Past.Sg.3	bôt	bièten
enhulfe	PTKNEG|VVFIN.Subj.Past.Sg.1	en|hülfe	ne|hëlfen
ich	PPER.*.Nom.Sg.1	ich	ich
im	PPER.Masc.Dat.Sg.3	im	ër
niht	PTKNEG	niht	niht
uz	APPR	ûz	ûz
der	DDART.Fem.Dat.Sg.*	der	dër
not	NA.Fem.Dat.Sg.st	nôt	nôt
des	DRELS.Neut.Gen.Sg	des	dër
er	PPER.Masc.Nom.Sg.3	er	ër
in	PPER.Masc.Akk.Sg.3	in	ër
gebeten	VVPP	gebeten	biten
hete	VAFIN.*.Past.Sg.3	hæte	haben
daz	DDS.Neut.Nom.Sg.*	daz	dër
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
do	AVD	dô	dô
zu	PTKA	zuo	ze
spete	AVD	spæte	spâte
theucer	NE.Nom.Sg	Theucer	Theucer
so	AVD	sô	sô
sere	AVD	sêre	sêre
gewunt	VVPP	gewundet	wunten
was	VAFIN.Ind.Past.Sg.3	was	wësen
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
des	DDART.Masc.Gen.Sg.*	des	dër
slages	NA.Masc.Gen.Sg.st	slages	slag
niht	PTKNEG	niht	niht
genas	VVFIN.Ind.Past.Sg.3	genas	genësen
theucer	NE.Nom.Sg	Theucer	Theucer
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
not	NA.Fem.Dat.Sg.st	nôt	nôt
nicht	PTKNEG	niht	niht
wol	AVD	wole	wole
lebende	ADJD.Pos	lebende	lëbente
noch	KON	noch	noh
tot	ADJD.Pos	tôt	tôt
do	AVD	dô	dô
sante	VVFIN.*.Past.Sg.3	sante	sènten
er	PPER.Masc.Nom.Sg.3	er	ër
nach	APPR	nâch	nâh
theleso	NE.Dat.Sg	Thelesô	Thelasus
und	KON	und	unte
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
zu	APPR	zuo	ze
im	PPER.Masc.Dat.Sg.3	im	ër
also	KO*	alsô	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
enhan	PTKNEG|VAFIN.Ind.Pres.Sg.1	en|hân	ne|haben
des	DDART.Masc.Gen.Sg.*	des	dër
libes	NA.Masc.Gen.Sg.st	lîbes	lîb
niht	PTKNEG	niht	niht
me	AVD.Comp	mêr	mêre
frist	NA.Fem.Akk.Sg.st	vrist	vrist
nu	KOUS	nû	nû
du	PPER.*.Nom.Sg.2	dû	dû
ercules	NE.Gen.Sg	Ercules	Hercules
sun	NA.Masc.Nom.Sg.st	sun	sun
bist	VAFIN.Ind.Pres.Sg.2	bist	sîn
nu	AVD	nû	nû
hore	VVIMP.Sg.2	hoere	hoèren
und	KON	und	unte
sich	VVIMP.Sg.2	sich	sëhen
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
wilen	AVD	wîlent	wîlent
troste	VVFIN.*.Past.Sg.3	trôste	troèsten
mich	PPER.*.Akk.Sg.1	mich	ich
mir	PPER.*.Dat.Sg.1	mir	ich
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
kunic	NA.Masc.Nom.Sg.st	küninc	küning
in	APPR	in	in
min	DPOSA	mîn	mîn
lant	NA.Neut.Akk.Sg.st	lant	lant
als	KO*	als	allsô
ez	PPER.Neut.Nom.Sg.3	ez	ër
nu	AVD	nû	nû
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
gerant	VVPP	gerant	rènnen
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
helfe	NA.Fem.Akk.Sg.st	helfe	hëlfe
ich	PPER.*.Nom.Sg.1	ich	ich
vurkos	VVFIN.Ind.Past.Sg.1	verkôs	verkièsen
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
niht	PTKNEG	niht	niht
verlos	VVFIN.Ind.Past.Sg.1	verlôs	verlièsen
des	DDS.Neut.Gen.Sg.*	des	dër
genoz	VVFIN.Ind.Past.Sg.1	genôz	genièzen
ich	PPER.*.Nom.Sg.1	ich	ich
do	AVD	dô	dô
sin	VAINF	sîn	sîn
also	AVD	alsô	allsô
solde	VMFIN.*.Past.Sg.1	solte	solen
ich	PPER.*.Nom.Sg.1	ich	ich
hute	AVD	hiute	hiute
din	PPER.*.Gen.Sg.2	dîn	dû
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
den	DDART.Masc.Akk.Sg.*	den	dër
lip	NA.Masc.Akk.Sg.st	lîp	lîb
solde	VMFIN.*.Past.Sg.1	solte	solen
han	VAINF	hân	haben
ir	PPER.*.Nom.Pl.2	ir	ir
hat	VAFIN.*.Pres.Pl.2	hât	haben
mir	PPER.*.Dat.Sg.1	mir	ich
beide	DID.*.Nom.Pl.st	beide	bèide
wol	AVD	wole	wole
getan	VVPP	getân	tuon
des	DDS.Neut.Gen.Sg.*	des	dër
gebe	VVFIN.Subj.Past.Sg.1	gæbe	gëben
ich	PPER.*.Nom.Sg.1	ich	ich
dir	PPER.*.Dat.Sg.2	dir	dû
hute	AVD	hiute	hiute
min	DPOSA	mîn	mîn
lant	NA.Neut.Akk.Sg.st	lant	lant
und	KON	und	unte
mine	DPOSA.*.Akk.Pl.st	mîne	mîn
lute	NA.Masc.Akk.Pl.st	liute	liut
man	NA.Masc.Akk.Pl.st	manne	mann
und	KON	und	unte
dinstman	NA.Masc.Akk.Pl.st	dienestman	diènestmann
und	KON	und	unte
allez	DIS.Neut.Akk.Sg.st	allez	all
daz	DRELS.Neut.Akk.Sg	daz	dër
ich	PPER.*.Nom.Sg.1	ich	ich
ie	AVD	ie	iè
gwan	VVFIN.Ind.Past.Sg.1	gewan	gewinnen
du	PPER.*.Nom.Sg.2	dû	dû
solt	VMFIN.Ind.Pres.Sg.2	solt	solen
mich	PPER.*.Akk.Sg.1	mich	ich
lazzen	VVINF	lâzen	lâzen
begraben	VVINF	begraben	begraben
ich	PPER.*.Nom.Sg.1	ich	ich
mac	VMFIN.Ind.Pres.Sg.1	mac	mügen
des	DDART.Masc.Gen.Sg.*	des	dër
libes	NA.Masc.Gen.Sg.st	lîbes	lîb
niht	NA.Neut.Akk.Sg.st	niht	niht
gehaben	VVINF	gehaben	gehaben
bestate	VVFIN.*.Past.Sg.3	bestatete	bestaten
mich	PPER.*.Akk.Sg.1	mich	ich
mit	APPR	mit	mit
eren	NA.Fem.Dat.Pl.*	êren	êre
ich	PPER.*.Nom.Sg.1	ich	ich
muz	VMFIN.Ind.Pres.Sg.1	muoz	müèzen
hinnen	AVD	hinnen	hinnen
keren	VVINF	kêren	kêren
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
do	AVD	dô	dô
vor	PTKVZ	vore	vore
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
daz	DDART.Neut.Nom.Sg.*	daz	dër
dinc	NA.Neut.Nom.Sg.st	dinc	ding
allez	DIN.Neut.Nom.Sg.st	allez	all
also	AVD	alsô	allsô
gescah	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
er	PPER.Masc.Nom.Sg.3	er	ër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
mit	APPR	mit	mit
eren	NA.Fem.Dat.Pl.*	êren	êre
bestat	VVPP	bestatet	bestaten
thelasus	NE.Nom.Sg	Thelasus	Thelasus
lant	NA.Neut.Akk.Sg.st	lant	lant
burge	NA.Fem.Akk.Pl.st	bürge	burg
und	KON	und	unte
stat	NA.Fem.Akk.Sg.st	stat	stat
eidete	VVFIN.*.Past.Sg.3	eidete	èiden
er	PPER.Masc.Nom.Sg.3	er	ër
in	APPR	in	in
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
gewalt	NA.Fem.Akk.Sg.st	gewalt	gewalt
und	KON	und	unte
ander	DIA	ander	ander
ere	NA.Fem.Akk.Sg.st	êre	êre
manicvalt	ADJN	manicvalt	manigvalt
achilles	NE.Nom.Sg	Achilles	Achilles
der	DDART.Masc.Nom.Sg.*	der	dër
helt	NA.Masc.Nom.Sg.st	helt	hèled
gemeit	ADJN	gemeit	gemèit
wider	AVD	wider	widere
zu	APPR	zuo	ze
dem	DDART.Neut.Dat.Sg.*	dem	dër
her	NA.Neut.Dat.Sg.st	her	hère
reit	VVFIN.Ind.Past.Sg.3	reit	rîten
und	KON	und	unte
hiz	VVFIN.Ind.Past.Sg.3	hiez	hèizen
thelafum	NE.Akk.Sg	Thelafum	Thelafus
da	AVD	dâ	dâr
bliben	VVINF	belîben	belîben
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
hizze	VVFIN.Subj.Past.Sg.3	hieze	hèizen
scriben	VVINF	schrîben	schrîben
sine	DPOSA.*.Akk.Pl.st	sîne	sîn
burge	NA.Fem.Akk.Pl.st	bürge	burg
und	KON	und	unte
sine	DPOSA.*.Akk.Pl.st	sîne	sîn
feste	NA.Fem.Akk.Pl.st	veste	vèste
und	KON	und	unte
sin	DPOSA	sîn	sîn
gelt	NA.Neut.Akk.Sg.st	gelt	gëlt
weste	VVFIN.*.Past.Sg.3	weste	wizzen
und	KON	und	unte
besetzete	VVFIN.*.Past.Sg.3	besetzete	besètzen
sin	DPOSA	sîn	sîn
lant	NA.Neut.Akk.Sg.st	lant	lant
biz	KOUS	biz	biz
im	PPER.Masc.Dat.Sg.3	im	ër
ein	DIART	ein	èin
bote	NA.Masc.Nom.Sg.wk	bote	bote
wurde	VAFIN.Subj.Past.Sg.3	würde	wërden
gesant	VVPP	gesant	sènten
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
denne	AVD	denne	danne
queme	VVFIN.Subj.Past.Sg.3	quæme	komen
swa	AVG	swâ	swâr
er	PPER.Masc.Nom.Sg.3	er	ër
daz	DDS.Neut.Akk.Sg.*	daz	dër
vurneme	VVFIN.Subj.Past.Sg.3	vernæme	vernëmen
daz	DDS.Neut.Nom.Sg.*	daz	dër
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
also	KO*	alsô	allsô
achilles	NE.Nom.Sg	Achilles	Achilles
sagete	VVFIN.*.Past.Sg.3	sagete	sagen
do	AVD	dô	dô
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
quam	VVFIN.Ind.Past.Sg.3	quam	komen
in	APPR	in	in
richte	NA.Fem.Akk.Sg.st	rihte	rihte
thelafis	NE.Gen.Sg	Thelafes	Thelafes
geschichte	NA.Neut.Dat.Sg.st	geschihte	geschihte
e	KOUS	êr	êr
ich	PPER.*.Nom.Sg.1	ich	ich
spreche	VVFIN.Subj.Past.Sg.1	spræche	sprëchen
vurbaz	AVD	vürebaz	vürebazz
so	AVD	sô	sô
sult	VMFIN.*.Pres.Pl.2	sulet	solen
ir	PPER.*.Nom.Pl.2	ir	ir
rechte	AVD	rehte	rëhte
merken	VVINF	merken	mèrken
daz	DDS.Neut.Akk.Sg.*	daz	dër
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
uch	PPER.*.Akk.Pl.2	iuch	ir
leren	VVFIN.Ind.Pres.Sg.1	lêren	lêren
wer	PW.Masc.Nom.Sg.st	wer	wër
die	DRELS.*.Nom.Pl	die	dër
zu	APPR	zuo	ze
troyge	NE.Dat.Sg	Trôje	Trôje
weren	VAFIN.Subj.Past.Pl.3	wæren	wësen
mit	APPR	mit	mit
irme	DPOSA.Masc,Neut.Dat.Sg.st	ireme	ire
harnasche	NA.Masc,Neut.Dat.Sg.st	harnasche	harnasch
uf	APPR	ûf	ûf
die	DDART.Fem.Akk.Sg.*	die	dër
gewer	NA.Fem.Akk.Sg.st	gewer	gewère
gegen	APPR	gegen	gègen
den	DDART.Neut.Dat.Sg.*	den	dër
crichischem	ADJA.Pos.Neut.Dat.Sg.st	kriechischem	krièchisch
her	NA.Neut.Dat.Sg.st	her	hère
von	APPR	von	von
sicilien	NE.Dat.Sg	Sizilien	Sizilien
pyndarus	NE.Nom.Sg	Pindarus	Pindarus
arpon	NE.Nom.Sg	Arpon	Arpon
und	KON	und	unte
adrastus	NE.Nom.Sg	Adrastus	Adrastus
zu	APPR	zuo	ze
gewere	NA.Fem.Dat.Sg.st	gewere	gewère
da	AVD	dâ	dâr
sazzen	VVFIN.Ind.Past.Pl.3	sâzen	sitzen
an	APPR	an	ane
einer	DIART.Fem.Dat.Sg.st	einer	èin
andern	DIA.Fem.Dat.Sg.wk	andern	ander
strazzen	NA.Fem.Dat.Sg.st	strâzen	strâze
zu	APPR	zuo	ze
colophon	NE.Dat.Sg	Kolophon	Colophon
gein	APPR	gein	gègen
dem	DDART.Neut.Dat.Sg.*	dem	dër
mer	NA.Neut.Dat.Sg.st	mer	mère
sazzen	VVFIN.Ind.Past.Pl.3	sâzen	sitzen
sie	PPER.*.Nom.Pl.3	sie	ër
mit	APPR	mit	mit
irre	DPOSA.Fem.Dat.Sg.st	irere	ire
gewer	NA.Fem.Dat.Sg.st	gewer	gewère
saras	NE.Nom.Sg	Saras	Saras
und	KON	und	unte
marsius	NE.Nom.Sg	Marsius	Marsius
nesteus	NE.Nom.Sg	Nesteus	Nesteus
und	KON	und	unte
phimacus	NE.Nom.Sg	Phimacus	Phimacus
dise	DDA.*.Nom.Pl.*	dise	dise
herren	NA.Masc.Nom.Pl.*	hêrren	hêrre
fiere	CARDN.*.Nom.Pl.st	viere	vièr
hetten	VAFIN.*.Past.Pl.3	hetten	haben
da	AVD	dâ	dâr
grozze	ADJA.Pos.Fem.Akk.Sg.st	grôze	grôz
ziere	NA.Fem.Akk.Sg.st	ziere	zière
der	DDART.Masc.Nom.Sg.*	der	dër
kunic	NA.Masc.Nom.Sg.st	küninc	küning
von	APPR	von	von
syze	NE.Dat.Sg	Size	Size
glaucon	NE.Nom.Sg	Glaucon	Glaucon
und	KON	und	unte
sin	DPOSA	sîn	sîn
bruder	NA.Masc.Nom.Sg.st	bruoder	bruoder
sarpendon	NE.Nom.Sg	Sarpendon	Sarpendon
priamus	NE.Gen.Sg	Priamus	Priamus
mage	NA.Masc.Nom.Pl.*	mâge	mâge
die	DDS.Masc.Nom.Pl.*	die	dër
hetten	VAFIN.*.Past.Pl.3	hetten	haben
an	APPR	an	ane
irre	DPOSA.Fem.Dat.Sg.st	irere	ire
plage	NA.Fem.Dat.Sg.st	plâge	plâge
dri	CARDA.*.Akk.Pl.st	drî	drî
tusent	ADJA.Pos	tûsent	tûsent
ritter	NA.Masc.Akk.Pl.st	ritter	rîtære
wol	AVD	wole	wole
bekant	ADJN	bekant	bekènnen
uber	APPR	über	über
al	DIA	al	all
troygenlant	NA.Neut.Akk.Sg.st	trogenlant	trôgenlant
da	AVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
von	APPR	von	von
lauconie	NE.Dat.Sg	Lauconîe	Lauconie
mit	APPR	mit	mit
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
massennie	NA.Fem.Dat.Sg.st	massenîe	massenîe
eufemes	NE.Nom.Sg	Eufemes	Eufemes
ein	DIART	ein	èin
kune	ADJA.Pos	küene	küène
helt	NA.Masc.Nom.Sg.st	helt	hèled
mit	APPR	mit	mit
tusent	ADJA.Pos	tûsent	tûsent
rittern	NA.Masc.Dat.Pl.st	rittern	rîtære
uzerwelt	VVPP	ûzerwelt	ûzerwèlen
auch	AVD-KO*	ouch	ouch
was	VAFIN.Ind.Past.Sg.3	was	wësen
da	AVD	dâ	dâr
hupus	NE.Nom.Sg	Hupus	Hupus
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
grozze	ADJA.Pos.Masc.Nom.Sg.wk	grôze	grôz
cupesus	NE.Nom.Sg	Cupesus	Cupesus
mit	APPR	mit	mit
guter	ADJA.Pos.Fem.Dat.Sg.st	guoter	guot
geselleschaft	NA.Fem.Dat.Sg.st	geselleschaft	gesèlleschaft
man	PI.*.Nom.Sg.st	man	man
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
daz	KOUS	daz	dazz
ir	DPOSA	ire	ire
ritterschaft	NA.Fem.Nom.Sg.st	ritterschaft	rîtæreschaft
were	VAFIN.Subj.Past.Sg.3	wære	wësen
harte	AVD	harte	harte
nutze	ADJD.Pos	nütze	nütze
mit	APPR	mit	mit
maniger	DIA.*.Gen.Pl.st	maniger	manig
hande	NA.Fem.Gen.Pl.st	hande	hant
geschutze	NA.Neut.Dat.Sg.st	geschütze	geschütze
ouch	AVD	ouch	ouch
was	VAFIN.Ind.Past.Sg.3	was	wësen
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
remus	NE.Nom.Sg	Remus	Remus
da	AVD	dâ	dâr
der	DDART.Masc.Nom.Sg.*	der	dër
kunic	NA.Masc.Nom.Sg.st	küninc	küning
von	APPR	von	von
sytenenia	NE.Dat.Sg	Syteneniâ	Sytenenia
sine	DPOSA.*.Nom.Pl.st	sîne	sîn
gesellen	NA.Masc.Nom.Pl.wk	gesellen	gesèlle
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
wol	AVD	wole	wole
gezogen	VVPP	gezogen	zièhen
siben	CARDA	siben	siben
grafen	NA.Masc.Nom.Pl.*	grâven	grâve
vier	CARDA	vier	vièr
herzogen	NA.Masc.Nom.Pl.*	herzogen	hèrezoge
manic	DIA	manic	manig
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
milde	ADJD.Pos	milte	milte
glich	ADJD.Pos	gelîch	gelîch
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
ir	DPOSA	ire	ire
schilde	NA.Masc.Nom.Pl.st	schilde	schilt
ir	DPOSA	ire	ire
wappen	NA.Neut.Nom.Pl.st	wâpen	wâpen
und	KON	und	unte
ir	DPOSA	ire	ire
banire	NA.Fem,Neut.Nom.Sg.st	baniere	banière
von	APPR	von	von
