o	ITJ	ô	ô
phariens	NE.Nom.Sg	Phariens	Pharias
sunder	APPR	sunder	sunter
schricke	NA.Masc.Akk.Pl.st	schricke	schrick
für	APPR	vüre	vüre
all	DIA	al	all
die	DDART.*.Akk.Pl.*	die	dër
fürsten	NA.Masc.Akk.Pl.wk	vürsten	vürste
drat	AVD	drâte	drâte
und	KON	und	unte
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
ir	PPER.*.Nom.Pl.2	ir	ir
habt	VAFIN.*.Pres.Pl.2	habet	haben
vil	AVD	vile	vile
dicke	AVD	dicke	dicke
vernumen	VVPP	vernomen	vernëmen
,	$_	,	,
wer	PW.Masc.Nom.Sg.st	wer	wër
selb	DDD.Masc.Nom.Sg.*	selp	sëlb
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
an	APPR	an	ane
eren	NA.Fem.Dat.Pl.*	êren	êre
matt	NA.Fem.Akk.Sg.st	mat	mate
,	$_	,	,
mitt	APPR	mit	mit
willen	NA.Masc.Dat.Sg.*	willen	wille
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
der	DDS.Masc.Nom.Sg.*	der	dër
nyempt	NA.Neut.Akk.Sg.st	niemant	nimb
bey	APPR	bî	bî
eren	NA.Fem.Dat.Pl.*	êren	êre
lassen	VVINF	lâzen	lâzen
.	$_	.	.
	
indem	APPR|DDS.Masc.Dat.Sg.*	in|dem	in|dër
erkandt	VVFIN.Ind.Past.Pl.2	erkantet	erkènnen
ir	PPER.*.Nom.Pl.2	ir	ir
ye	AVD	ie	iè
sein	DPOSA	sîn	sîn
herz	NA.Neut.Akk.Sg.wk	herze	hërze
.	$_	.	.
	
nu	AVD	nû	nû
höre	VVIMP.Sg.2	hoere	hoèren
zu	PTKVZ	zuo	zuo
,	$_	,	,
du	PPER.*.Nom.Sg.2	dû	dû
wicht	VVIMP.Sg.2	wiht	wîhen
arg	ADJD.Pos	arc	arg
und	KON	und	unte
verwassen	VVIMP.Sg.2	verwahsen	verwassen
!	$_	!	!
	
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
nicht	PTKNEG	niht	niht
mit	APPR	mit	mit
dir	PPER.*.Dat.Sg.2	dir	dû
pagen	VVINF	pfagen	bâgen
,	$_	,	,
als	KO*	als	allsô
das	DDART.Neut.Nom.Sg.*	daz	dër
zimbt	NA.Neut.Nom.Sg.st	<unknown>	zimbet
broden	ADJA.Pos.*.Dat.Pl.*	broeden	broède
weyben	NA.Neut.Dat.Pl.st	wîben	wîb
;	$_	;	;
das	DDART.Neut.Akk.Sg.*	daz	dër
laster	NA.Neut.Akk.Sg.st	laster	laster
muestu	VMFIN.Ind.Pres.Sg.2|PPER.*.Nom.Sg.2	muost|dû	müèzen|dû
tragen	VVINF	tragen	tragen
auf	APPR	ûf	ûf
deinem	DPOSA.Masc.Dat.Sg.st	dînem	dîn
rugk	NA.Masc.Dat.Sg.*	<unknown>	<unknown>
,	$_	,	,
mich	PPER.*.Akk.Sg.1	mich	ich
lan	VVINF	lân	lâzen
bey	APPR	bî	bî
wirden	NA.Fem.Dat.Pl.*	wirden	wirde
bleiben	VVINF	belîben	belîben
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
hab	VAFIN.*.Pres.Sg.1	habe	haben
mein	DPOSA.Fem.Akk.Sg.*	mîn	mîn
trew	NA.Fem.Akk.Sg.st	triuwe	triuwe
noch	KON	noch	noh
glübde	NA.Fem,Neut.Akk.Sg.st	gelübede	gelübede
nie	AVD	nie	niè
zerprochen	VVPP	zerbrochen	zerbrëchen
,	$_	,	,
als	KO*	als	allsô
des	DDS.Neut.Gen.Sg.*	des	dër
dein	DPOSA.Masc.Nom.Sg.*	dîn	dîn
valscher	ADJA.Pos.Masc.Nom.Sg.st	valscher	valsch
mund	NA.Masc.Nom.Sg.st	munt	mund
vergicht	VVFIN.Ind.Pres.Sg.3	verjihet	verjëhen
.	$_	.	.
	
wills	DWA.Masc.Nom.Sg.*	welich	wèlich
got	NA.Masc.Nom.Sg.st	got	got
,	$_	,	,
das	DDS.Neut.Nom.Sg.*	daz	dër
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
an	APPR	an	ane
dir	PPER.*.Dat.Sg.2	dir	dû
leicht	ADJD.Pos	lîht	lîhte
noch	AVD	noch	noh
gerochen	VVPP	gerochen	rëchen
!	$_	!	!
	
merkt	VVIMP.Pl.2	merket	mèrken
,	$_	,	,
fürsten	NA.Masc.Akk.Pl.wk	vürsten	vürste
und	KON	und	unte
baronen	NA.Masc.Akk.Pl.*	barônen	barone
,	$_	,	,
graven	NA.Masc.Akk.Sg.*	grâven	grâve
und	KON	und	unte
edlen	ADJA.Pos.Masc.Akk.Sg.*	edelen	èdele
freyen	ADJN.Masc.Akk.Sg.*	vrîen	vrî
!	$_	!	!
	
die	DDART.Masc.Nom.Pl.*	die	dër
jungen	ADJA.Pos.*.Nom.Pl.wk	jungen	jung
wolgetanen	ADJA.Pos.*.Nom.Pl.wk	wolegetânen	wolegetân
namlich	AVD	namelîche	namelîche
bey	APPR	bî	bî
mir	PPER.*.Dat.Sg.1	mir	ich
und	KON	und	unte
in	APPR	in	in
meiner	DPOSA.Fem.Dat.Sg.st	mîner	mîn
huete	NA.Fem.Dat.Sg.st	huote	huote
seyen	VVFIN.*.Past.Pl.3	sien	sëhen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
ir	DPOSA.Masc.Nom.Sg.*	ire	ire
man	NA.Masc.Nom.Sg.st	man	mann
und	KON	und	unte
hab	VAFIN.*.Pres.Sg.1	habe	haben
bey	APPR	bî	bî
meinem	DPOSA.Masc,Neut.Dat.Sg.st	mînem	mîn
leben	NA.Masc,Neut.Dat.Sg.st	lebene	lëben
verlawgen	VVPP	verlougen	verlagen
nie	AVD	nie	niè
zu	APPR	zuo	ze
herren	NA.Masc.Dat.Sg.*	hêrren	hêrre
ir	PPER.*.Nom.Pl.2	ir	ir
;	$_	;	;
ich	PPER.*.Nom.Sg.1	ich	ich
hab	VAFIN.*.Pres.Sg.1	habe	haben
mein	DPOSA	mîn	mîn
manschaft	NA.Fem.Akk.Sg.st	manschaft	mannschaft
in	PPER.*.Dat.Pl.3	in	ër
auch	AVD	ouch	ouch
nie	AVD	nie	niè
aufgeben	PTKVZ|VVPP	ûf|gegeben	ûf|gëben
.	$_	.	.
	
und	KON	und	unte
solt	VMFIN.*.Past.Sg.1	solte	solen
ich	PPER.*.Nom.Sg.1	ich	ich
suns	NA.Masc.Gen.Sg.st	sunes	sun
verraten	VVINF	verrâten	verrâten
die	DDART.Masc.Akk.Pl.*	die	dër
jungen	ADJA.Pos.*.Nom.Pl.wk	jungen	jung
künigherren	NA.Masc.Nom.Pl.*	küninchêrren	küninghêrre
,	$_	,	,
alls	KO*	als	allsô
ye	AVD	ie	iè
die	DRELS.Masc.Nom.Pl	die	dër
riballd	NE.Akk.Sg	<unknown>	Ribald
taten	VVFIN.Ind.Past.Pl.3	tâten	tuon
und	KON	und	unte
diser	DDA.Masc.Nom.Sg.*	diser	dise
wicht	NA.Masc.Nom.Sg.st	wiht	wiht
mirs	PPER.*.Dat.Sg.1|PPER.Neut.Akk.Sg.3	mir|ez	ich|ër
tuet	VVFIN.Ind.Pres.Sg.3	tuot	tuon
zu	APPR	zuo	ze
argem	ADJA.Pos.Masc.Dat.Sg.st	argem	arg
keren	NA.Neut.Dat.Sg.st	kêrene	kêren
,	$_	,	,
des	DDART.Neut.Gen.Sg.*	des	dër
herz	NA.Neut.Nom.Sg.wk	herze	hërze
nie	AVD	nie	niè
tet	VVFIN.*.Past.Sg.3	tet	tuon
nach	APPR	nâch	nâh
hochen	ADJA.Pos.*.Dat.Pl.*	hôhen	hôh
eren	NA.Fem.Dat.Pl.*	êren	êre
denken	VVINF	denken	dènken
,	$_	,	,
vor	APPR	vore	vore
euch	PPER.*.Dat.Pl.2	iuch	ir
gib	VVFIN.Ind.Pres.Sg.1	gibe	gëben
ich	PPER.*.Nom.Sg.1	ich	ich
mein	DPOSA.Fem.Akk.Sg.*	mîn	mîn
gwere	NA.Fem.Akk.Sg.st	gewere	gewère
des	DDS.Neut.Gen.Sg.*	des	dër
,	$_	,	,
das	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
morgen	AVD	morgen	morgene
im	PPER.Masc.Dat.Sg.3	im	ër
kampfs	NA.Masc.Gen.Sg.st	kampfes	kampf
nicht	PTKNEG	niht	niht
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
entwenken	VVINF	entwenken	entwènken
!	$_	!	!
	
>gen	APPR	gein	gègen
disem	DDA.Neut.Dat.Sg.*	disem	dise
wig	NA.Masc,Neut.Dat.Sg.st	wîge	wîg
sy	PPER.*.Nom.Pl.3	si	ër
payde	DID.*.Nom.Pl.st	beide	bèide
des	DDART.Masc.Gen.Sg.*	des	dër
tags	NA.Masc.Gen.Sg.st	tages	tag
sich	PRF.Akk.*.*	sich	sich
teten	VVFIN.*.Past.Pl.3	tâten	tuon
richten	VVINF	rihten	rihten
.	$_	.	.
	
nu	AVD	nû	nû
morgens	AVD	morgenes	morgenes
auf	APPR	ûf	ûf
die	DDART.*.Akk.Pl.*	die	dër
hayde	NA.Masc.Akk.Pl.st	heide	hèiden
kamens	VVFIN.*.Past.Pl.3|PPER.Neut.Gen.Sg.3	kâmen|es	komen|ër
verwappent	VVPP	verwâpenet	verwâpenen
.	$_	.	.
	
yeder	DIS.Masc.Nom.Sg.*	ieweder	ièwëder
dacht	VVFIN.Ind.Past.Sg.3	dâhte	dènken
,	$_	,	,
zu	APPR	zuo	ze
vernichten	NA.Neut.Dat.Sg.wk	vernihtenne	vernihten
des	DDART.Masc.Gen.Sg.*	des	dër
andern	DIS.Masc.Gen.Sg.wk	andern	ander
preys	NA.Masc.Akk.Sg.st	prîs	prîs
.	$_	.	.
	
sy	PPER.*.Nom.Pl.3	si	ër
payde	DIA.*.Nom.Pl.st	beide	bèide
manhait	NA.Fem.Akk.Sg.st	manheit	mannhèit
wielten	VVFIN.*.Past.Pl.3	wielten	walten
.	$_	.	.
	
yeder	DIS.Masc.Nom.Sg.*	ieweder	ièwëder
ain	DIART	ein	èin
sper	NA.Neut.Akk.Sg.st	sper	spër
von	APPR	von	von
rore	NA.Neut.Dat.Sg.st	rôre	rôr
fuert	VVFIN.*.Past.Sg.3	vuorte	vüèren
,	$_	,	,
damit	PAVD|PAVAP	dâ|mit	dâr|mite
sy	PPER.*.Nom.Pl.3	si	ër
streitlich	AVD	strîtlîche	strîtlîche
gen	APPR	gein	gègen
dem	DDART.Neut.Dat.Sg.*	dem	dër
punder	NA.Neut.Dat.Sg.st	punder	bunter
hielten	VVFIN.*.Past.Pl.3	hielten	halten
.	$_	.	.
	
den	DDART.Masc.Akk.Sg.*	den	dër
walab	NA.Masc.Akk.Sg.st	wâlap	walab
machtens	VVFIN.*.Past.Pl.3|PPER.Masc.Nom.Pl.3	macheten|si	machen|ër
weyten	VVFIN.*.Past.Pl.3	weiten	wèiden
all	AVD	al	al
durch	APPR	durch	durh
ir	PPER.*.Gen.Pl.3	ir	ër
payder	DIA.*.Gen.Pl.st	beider	bèide
zoren	NA.Masc,Neut.Akk.Sg.st	zorn	zorn
,	$_	,	,
die	DDART.Neut.Nom.Pl.*	die	dër
ors	NA.Neut.Nom.Pl.st	ors	ors
auch	AVD	ouch	ouch
zu	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
seitten	NA.Fem,Masc.Dat.Pl.*	seten	sèite
genumen	VVPP	genomen	nëmen
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
scharfen	ADJA.Pos.*.Dat.Pl.*	scharpfen	scharpf
sporen	NA.Neut.Dat.Pl.st	sporen	spor
.	$_	.	.
	
hurtigklich	AVD	hurticlîche	hurtiglîche
liessen	VVFIN.*.Past.Pl.3	liezen	lâzen
sy	PPER.*.Nom.Pl.3	si	ër
zusammen	AVD	zesamen	zesamene
streichen	VVINF	streichen	strèichen
.	$_	.	.
	
schillt	NA.Masc.Nom.Sg.st	schilt	schilt
,	$_	,	,
sper	NA.Neut.Nom.Sg.st	sper	spër
do	AVD	dô	dô
solich	DDA.Neut.Akk.Sg.*	solich	solich
krachen	NA.Neut.Akk.Sg.st	krachen	krachen
gab	VVFIN.Ind.Past.Sg.3	gap	gëben
,	$_	,	,
das	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
nie	AVD	nie	niè
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
der	DDART.Fem.Gen.Sg.*	der	dër
thiost	NA.Fem.Gen.Sg.*	<unknown>	tjoste
mer	ADJA.Comp.Neut.Akk.Sg.*	mêr	mêre
geleichen	VVINF	geleichen	gelèichen
.	$_	.	.
	
schnell	NA.Fem.Nom.Sg.*	<unknown>	schëlle
warf	VVFIN.Ind.Past.Sg.3	warf	wërfen
sich	PRF.Akk.*.*	sich	sich
wider	AVD	wider	widere
umbe	APPR	umbe	umbe
phariens	NE.Akk.Sg	Phariens	Pharias
der	DDART.Masc.Nom.Sg.*	der	dër
zornes	NA.Masc.Gen.Sg.st	zornes	zorn
reich	NA.Neut.Akk.Sg.st	rîche	rîche
:	$_	:	:
<lang	AVD	alanc	enlange
her	AVD	her	hëre
ain	DIART	ein	èin
sper	NA.Neut.Akk.Sg.st	sper	spër
!	$_	!	!
	
ich	PPER.*.Nom.Sg.1	ich	ich
frumme	VVFIN.*.Pres.Sg.1	vrumene	vrumen
ain	DIART	ein	èin
just	NA.Masc.Akk.Sg.st	just	just
,	$_	,	,
davon	PAVD|PAVAP	dâ|von	dâr|vone
unnser	PPER.*.Gen.Pl.1	unser	<unknown>
ainer	CARDS.Masc.Nom.Sg.st	einer	èin
lässterleich	AVD	<unknown>	lasterlîche
hie	AVD	hier	hièr
ligen	VVINF	ligen	ligen
mues.>	NA.Neut.Akk.Sg.st	müeze	<unknown>
ain	DIART	ein	èin
sper	NA.Neut.Akk.Sg.st	sper	spër
zerseyt	NA.Fem.Dat.Sg.st	zerseit	zièrhèit
er	PPER.Masc.Nom.Sg.3	er	ër
druckte	VVFIN.*.Past.Sg.3	drukte	drücken
.	$_	.	.
	
die	DDART.Fem.Akk.Sg.*	die	dër
thiost	NA.Fem.Akk.Sg.*	tjoste	tjoste
so	AVD	sô	sô
hurtigklich	AVD	hurticlîche	hurtiglîche
errait	VVFIN.Ind.Past.Sg.3	erreit	errîten
,	$_	,	,
das	KOUS	daz	dazz
sein	DPOSA	sîn	sîn
sper	NA.Neut.Nom.Sg.st	sper	spër
wol	AVD	wole	wole
in	APPR	in	in
hundert	ADJA.Pos	hundert	hundert
tail	NA.Masc,Neut.Akk.Pl.st	teile	tèil
zerfluckte	VVFIN.*.Past.Sg.3	zervluckete	zervluochen
.	$_	.	.
	
hiemit	PAVD|PAVAP	hier|mit	hièr|mite
er	PPER.Masc.Nom.Sg.3	er	ër
sein	PPER.Masc.Gen.Sg.3	sîn	ër
gestreiten	VVPP	gestriten	strîten
mit	APPR	mit	mit
solichen	DDA.*.Dat.Pl.st	solichen	solich
kreften	NA.Fem.Dat.Pl.st	kreften	kraft
stach	VVFIN.Ind.Past.Sg.3	stach	stëchen
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
in	APPR	in	in
gueten	ADJA.Pos.*.Dat.Pl.*	guoten	guot
zeiten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
gehorte	VVFIN.*.Past.Sg.3	gehôrte	gehoèren
nicht	PTKNEG	niht	niht
noch	KON	noch	noh
worte	NA.Neut.Gen.Pl.st	worte	wort
mer	AVD.Comp	mêr	mêre
gesprach	VVFIN.Ind.Past.Sg.3	gesprach	gesprëchen
.	$_	.	.
	
sunst	AVD	sunst	sunst
lag	VVFIN.Ind.Past.Sg.3	lac	ligen
er	PPER.Masc.Nom.Sg.3	er	ër
,	$_	,	,
alls	AVD	als	allsô
ob	KOUS	ob	obe
er	PPER.Masc.Nom.Sg.3	er	ër
yetz	AVD	iezunt	ièzunt
wär	VAFIN.Subj.Past.Sg.3	wær	wësen
erstorben	VVPP	erstorben	erstërben
.	$_	.	.
	
phariens	NE.Nom.Sg	Phariens	Pharias
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
dein	DPOSA	dîn	dîn
vertwalter	ADJA.Pos.Masc.Nom.Sg.st	vertwalter	vertwalt
muet	NA.Masc.Nom.Sg.st	muot	muot
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
mir	PPER.*.Dat.Sg.1	mir	ich
zurecht	APPR|NA.Fem.Dat.Sg.st	zuo|rehte	ze|rëhte
den	DDART.Masc.Akk.Sg.*	den	dër
re	NA.Masc.Akk.Sg.st	rê	rêw
an	APPR	an	ane
dir	PPER.*.Dat.Sg.2	dir	dû
erworben.>	DPOSA.Neut.Akk.Sg.*|NA.Neut.Akk.Sg.st	ire|worben	ire|worb
alls	KO*	als	allsô
dem	DDART.Masc.Dat.Sg.*	dem	dër
krefften	NA.Fem.Dat.Pl.st	kreften	kraft
beraubet	VVPP	beroubet	berouben
ains	CARDS.Masc.Gen.Sg.st	eines	èin
tail	NA.Masc,Neut.Akk.Sg.st	teil	tèil
der	DDART.Masc.Nom.Sg.*	der	dër
paus	NA.Masc.Nom.Sg.st	bûs	bâbest
vergieng	VVFIN.Ind.Past.Sg.3	vergienc	vergân
von	APPR	von	von
oren	NA.Neut.Dat.Pl.wk	ôren	ôre
und	KON	und	unte
von	APPR	von	von
haubet	NA.Neut.Dat.Sg.st	houbete	houbet
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
sprang	VVFIN.Ind.Past.Sg.3	spranc	springen
auf	PTKVZ	ûf	ûf
.	$_	.	.
	
seinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
schilt	NA.Masc.Akk.Sg.st	schilt	schilt
er	PPER.Masc.Nom.Sg.3	er	ër
zu	APPR	zuo	ze
im	PPER.Masc.Dat.Sg.3	im	ër
ving	VVFIN.Ind.Past.Sg.3	vienc	vâhen
,	$_	,	,
das	DDART.Neut.Akk.Sg.*	daz	dër
swert	NA.Neut.Akk.Sg.st	swert	swërt
zoch	VVFIN.Ind.Past.Sg.3	zôch	zièhen
er	PPER.Masc.Nom.Sg.3	er	ër
mandlich	AVD	mandelîche	mandlîche
von	APPR	von	von
seiner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
schaiden	NA.Fem.Dat.Sg.st	scheiden	schèide
,	$_	,	,
suss	AVD	sus	sus
tet	VVFIN.*.Past.Sg.3	tet	tuon
auch	AVD	ouch	ouch
der	DDART.Masc.Nom.Sg.*	der	dër
hellt	NA.Masc.Nom.Sg.st	helt	hèled
phariens	NE.Nom.Sg	Phariens	Pharias
.	$_	.	.
	
ain	DIART	ein	èin
starken	ADJA.Pos.Masc.Akk.Sg.*	starken	stark
streyt	NA.Masc.Akk.Sg.st	strît	strît
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
man	PI.*.Nom.Sg.st	man	man
erst	AVD.Sup	êrst	êreste
von	APPR	von	von
in	PPER.*.Dat.Pl.3	in	ër
payden	DIS.*.Dat.Pl.st	beiden	bèide
.	$_	.	.
	
die	DDART.Fem.Nom.Sg.*	die	dër
swert	NA.Neut.Nom.Pl.st	swert	swërt
genott	VVFIN.Ind.Pres.Sg.3	genoetet	genoèten
erdussen	PPER.Masc.Nom.Sg.3|APPR	er|dussen	ër|dissen
den	DDART.*.Dat.Pl.*	den	dër
hellden	NA.Masc.Dat.Pl.st	helden	hèled
in	APPR	in	in
iren	DPOSA.*.Dat.Pl.st	iren	ire
hannden	NA.Fem.Dat.Pl.st	handen	hant
.	$_	.	.
	
sy	PPER.*.Nom.Pl.3	si	ër
payd	DIS.*.Nom.Pl.st	beide	bèide
von	APPR	von	von
pluete	NA.Neut.Dat.Sg.st	bluote	bluot
flussen	VVFIN.*.Past.Pl.3	vluzzen	vlièzen
.	$_	.	.
	
phariens	NE.Nom.Sg	Phariens	Pharias
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
sein	DPOSA	sîn	sîn
zoren	NA.Masc,Neut.Akk.Sg.st	zorn	zorn
nu	AVD	nû	nû
recht	NA.Neut.Akk.Sg.st	reht	rëht
annden	VVINF	anden	anten
:	$_	:	:
er	PPER.Masc.Nom.Sg.3	er	ër
holt	VVFIN.*.Past.Sg.3	holete	holen
ain	DIART	ein	èin
schlag	NA.Masc.Akk.Sg.st	slac	slag
aus	APPR	ûz	ûz
armen	ADJA.Pos.*.Dat.Pl.*	armen	arm
allso	AVD	alsô	allsô
swäre	ADJD.Pos	swære	swære
durch	APPR	durch	durh
hiren	DPOSA.Masc.Akk.Sg.st	hiren	ire
schall	NA.Masc.Akk.Sg.st	schal	schall
ab	PTKVZ	ab	abe
durch	APPR	durch	durh
den	DDART.Masc.Akk.Sg.*	den	dër
mundt	NA.Masc.Akk.Sg.st	munt	mund
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
erstarb	VVFIN.Ind.Past.Sg.3	erstarp	erstërben
-	$_	-	-
beschaidet	VVFIN.Ind.Pres.Sg.3	bescheidet	beschèiden
uns	PPER.*.Dat.Pl.1	uns	wir
das	DDART.Neut.Nom.Sg.*	daz	dër
märe	NA.Neut.Akk.Sg.st	mære	mère
.	$_	.	.
	
<	ITJ	âmen	âmen
dein	DPOSA.Masc.Nom.Sg.*	dîn	dîn
valsch	NA.Masc.Nom.Sg.st	valsch	valsch
dich	PPER.*.Akk.Sg.2	dich	dû
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
ervellet	VVPP	ervellet	ervèllen
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
du	PPER.*.Nom.Sg.2	dû	dû
pflagst	VVFIN.Ind.Pres.Sg.2	pflâst	pflëgen
mit	APPR	mit	mit
untrewen	NA.Fem.Dat.Pl.*	untriuwen	untriuwe
!	$_	!	!
	
wer	PW.Masc.Nom.Sg.st	wer	wër
eren	NA.Fem.Gen.Pl.*	êren	êre
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
gesellet	VVPP	gesellet	gesèllen
,	$_	,	,
den	DDS.Masc.Akk.Sg.*	den	dër
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
dein	DPOSA	dîn	dîn
tod	NA.Masc.Nom.Sg.st	tôt	tôd
durch	APPR	durch	durh
deinen	DPOSA.Masc.Akk.Sg.st	dînen	dîn
valsch	NA.Masc.Akk.Sg.st	valsch	valsch
nicht	PTKNEG	niht	niht
rewen.>	VVINF	<unknown>	<unknown>
do	AVD	dô	dô
sprang	VVFIN.Ind.Past.Sg.3	spranc	springen
er	PPER.Masc.Nom.Sg.3	er	ër
auf	APPR	ûf	ûf
sein	DPOSA	sîn	sîn
pfärd	NA.Neut.Akk.Sg.st	pferde	pfèrd
vil	AVD	vile	vile
degenleiche	AVD	degenlîche	dëgenlîche
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
annder	DIS.Masc.Nom.Sg.wk	ander	ander
auch	AVD	ouch	ouch
geholet	VVPP	geholet	holen
wardt	VAFIN.Ind.Past.Sg.3	wart	wërden
von	APPR	von	von
seinen	DPOSA.*.Dat.Pl.st	sînen	sîn
magen	NA.Masc.Dat.Pl.*	mâgen	mâge
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
jamers	NA.Masc,Neut.Gen.Sg.st	jâmers	jâmer
reiche	NA.Neut.Nom.Pl.st	rîche	rîche
.	$_	.	.
	
entwappent	VVPP	entwâpenet	entwâpenen
an	APPR	an	ane
den	DDART.*.Dat.Pl.*	den	dër
stunden	NA.Fem.Dat.Pl.*	stunden	stunte
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
phariens	NE.Nom.Sg	Phariens	Pharias
der	DDART.Masc.Nom.Sg.*	der	dër
degen	NA.Masc.Nom.Sg.st	degen	dëgen
.	$_	.	.
	
was	PG.Neut.Akk.Sg.st	swaz	swër
er	PPER.Masc.Nom.Sg.3	er	ër
auch	AVD	ouch	ouch
hett	VAFIN.*.Past.Sg.3	hette	haben
der	DDART.Fem.Gen.Sg.*	der	dër
wunden	NA.Fem.Gen.Sg.st	wunden	wunte
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
mit	APPR	mit	mit
arzeney	NA.Fem.Dat.Sg.st	arzenî	arzâtîe
auch	AVD	ouch	ouch
wol	AVD	wole	wole
gepflegen	VVPP	gepflegen	pflëgen
.	$_	.	.
	
nach	APPR	nâch	nâh
clainer	ADJA.Pos.Fem.Dat.Sg.st	kleiner	klèine
zeit	NA.Fem.Dat.Sg.st	zît	zît
claudas	NE.Nom.Sg	Claudas	Claudas
den	DDART.Masc.Akk.Sg.*	den	dër
helld	NA.Masc.Akk.Sg.st	<unknown>	hèled
besannde	VVFIN.*.Past.Sg.3	besante	besènnen
.	$_	.	.
	
alls	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
dar	AVD	dar	dâr
zu	PAVAP	zuo	zuo
dem	DDART.Masc.Dat.Sg.*	dem	dër
künig	NA.Masc.Dat.Sg.st	küninge	küning
kam	VVFIN.Ind.Past.Sg.3	kam	komen
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
pot	VVFIN.Ind.Past.Sg.3	bôt	bièten
im	PPER.Masc.Dat.Sg.3	im	ër
hulld	NA.Fem.Akk.Sg.st	hulde	hulde
und	KON	und	unte
lehen	NA.Neut.Akk.Sg.st	lêhen	lêhen
vil	NA.Neut.Akk.Sg.st	vile	vile
der	DDART.*.Gen.Pl.*	der	dër
lannde	NA.Neut.Gen.Pl.st	lande	lant
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
zu	APPR	zuo	ze
dem	DDART.Masc.Dat.Sg.*	dem	dër
getrewen	ADJA.Pos.Masc.Dat.Sg.wk	getriuwen	getriuwe
:	$_	:	:
<ainer	CARDS.Masc.Nom.Sg.st	einer	èin
pet	VVFIN.*.Past.Sg.3	betete	bëten
mich	PPER.*.Akk.Sg.1	mich	ich
nicht	PTKNEG	niht	niht
entwer	AVD	entwer	indwërh
!	$_	!	!
	
das	DDS.Neut.Nom.Sg.*	daz	dër
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
dich	PPER.*.Akk.Sg.2	dich	dû
nimmer	AVD	niemer	nièmer
rewen	VVINF	riuwen	riuwen
;	$_	;	;
es	PPER.Neut.Nom.Sg.3	ez	ër
frumet	VVFIN.Ind.Pres.Sg.3	vrumet	vrumen
dich	PPER.*.Akk.Sg.2	dich	dû
und	KON	und	unte
sy	VAFIN.Subj.Pres.Sg.3	sî	sîn
auch	AVD	ouch	ouch
ymmer	AVD	iemer	ièmer
mer	AVD.Comp	mêr	mêre
.	$_	.	.
	
des	DDART.Masc.Gen.Sg.*	des	dër
künig	NA.Masc.Gen.Sg.st	küninges	küning
bohorts	NE.Gen.Sg	Bohthordes	Bohord
kind	NA.Neut.Akk.Sg.st	kint	kind
soltu	VMFIN.Ind.Pres.Sg.2|PPER.*.Nom.Sg.2	solt|dû	solen|dû
mir	PPER.*.Dat.Sg.1	mir	ich
zaigen	VVINF	zeigen	zèigen
!	$_	!	!
	
so	KO*	sô	sô
sy	PPER.*.Nom.Pl.3	si	ër
werden	VAFIN.*.Pres.Pl.3	werden	wërden
